,prefix,lr,bsz,dev_performance,test_performance
0,yelp_polarity_16_100,0.5,8,0.6113360323886641,0.3750514482956836
1,yelp_polarity_16_100,0.4,8,0.7117117117117117,0.3362452137760747
2,yelp_polarity_16_100,0.3,8,0.5607843137254902,0.3331578485566377
3,yelp_polarity_16_100,0.2,8,0.5465587044534412,0.12548625333142166
4,yelp_polarity_16_100_best,0.4,8,0.7117117117117117,0.3362452137760747
5,yelp_polarity_16_13,0.5,8,0.6761133603238867,0.5443667142411117
6,yelp_polarity_16_13,0.4,8,0.6825396825396826,0.48757838427119166
7,yelp_polarity_16_13,0.3,8,0.5901477832512315,0.3614932480946233
8,yelp_polarity_16_13,0.2,8,0.6532019704433498,0.17585123124256402
9,yelp_polarity_16_13_best,0.4,8,0.6825396825396826,0.48757838427119166
10,yelp_polarity_16_21,0.5,8,0.6476476476476476,0.38457738526873614
11,yelp_polarity_16_21,0.4,8,0.4385964912280702,0.4344709142047146
12,yelp_polarity_16_21,0.3,8,0.625,0.33485248942662194
13,yelp_polarity_16_21,0.2,8,0.4980392156862745,0.38480539794257923
14,yelp_polarity_16_21_best,0.5,8,0.6476476476476476,0.38457738526873614
15,yelp_polarity_16_42,0.5,8,0.6113360323886641,0.3336832884267341
16,yelp_polarity_16_42,0.4,8,0.49090909090909085,0.34016472559687677
17,yelp_polarity_16_42,0.3,8,0.5333333333333333,0.4785436959579916
18,yelp_polarity_16_42,0.2,8,0.5901477832512315,0.42352434190112537
19,yelp_polarity_16_42_best,0.5,8,0.6113360323886641,0.3336832884267341
20,yelp_polarity_16_87,0.5,8,0.5270935960591133,0.3604180605333392
21,yelp_polarity_16_87,0.4,8,0.5733333333333335,0.417721989772199
22,yelp_polarity_16_87,0.3,8,0.5307917888563051,0.3867201320910485
23,yelp_polarity_16_87,0.2,8,0.6825396825396826,0.42772086507311097
24,yelp_polarity_16_87_best,0.2,8,0.6825396825396826,0.42772086507311097
