,prefix,lr,bsz,dev_performance,test_performance
0,amazon_polarity_16_100,0.0005,8,0.5835835835835835,0.47919845387040994
1,amazon_polarity_16_100,0.0003,8,0.8125,0.7045523063008743
2,amazon_polarity_16_100,0.0002,8,0.6476476476476476,0.6055974587023851
3,amazon_polarity_16_100,0.0001,8,1.0,0.922882704593687
4,amazon_polarity_16_100_best,0.0001,8,1.0,0.922882704593687
5,amazon_polarity_16_13,0.0005,8,0.8125,0.8676498965951673
6,amazon_polarity_16_13,0.0003,8,0.8435972629521017,0.8985445665592845
7,amazon_polarity_16_13,0.0002,8,0.7810361681329424,0.8265954229256982
8,amazon_polarity_16_13,0.0001,8,0.9375,0.9054539017364297
9,amazon_polarity_16_13_best,0.0001,8,0.9375,0.9054539017364297
10,amazon_polarity_16_21,0.0005,8,0.7333333333333334,0.667237325463788
11,amazon_polarity_16_21,0.0003,8,0.9687194525904204,0.9319997279989121
12,amazon_polarity_16_21,0.0002,8,0.9687194525904204,0.9137294555726758
13,amazon_polarity_16_21,0.0001,8,0.9372549019607843,0.8788363442501786
14,amazon_polarity_16_21_best,0.0003,8,0.9687194525904204,0.9319997279989121
15,amazon_polarity_16_42,0.0005,8,0.716256157635468,0.5702397018186491
16,amazon_polarity_16_42,0.0003,8,0.9687194525904204,0.9219472363317602
17,amazon_polarity_16_42,0.0002,8,0.9372549019607843,0.920903106305224
18,amazon_polarity_16_42,0.0001,8,0.9372549019607843,0.9046681498295568
19,amazon_polarity_16_42_best,0.0003,8,0.9687194525904204,0.9219472363317602
20,amazon_polarity_16_87,0.0005,8,0.9687194525904204,0.8495347777994664
21,amazon_polarity_16_87,0.0003,8,0.9687194525904204,0.9019117205484937
22,amazon_polarity_16_87,0.0002,8,0.9687194525904204,0.9208917007383108
23,amazon_polarity_16_87,0.0001,8,0.9687194525904204,0.929936943248924
24,amazon_polarity_16_87_best,0.0005,8,0.9687194525904204,0.8495347777994664
