,prefix,lr,bsz,dev_performance,test_performance
0,anli_16_100,0.0005,8,0.39246243952126303,0.27208669012501946
1,anli_16_100,0.0003,8,0.43636363636363634,0.2980167657478836
2,anli_16_100,0.0002,8,0.39820261437908494,0.32199861474463715
3,anli_16_100,0.0001,8,0.35626102292768963,0.3084309542525041
4,anli_16_100_best,0.0003,8,0.43636363636363634,0.2980167657478836
5,anli_16_13,0.0005,8,0.38240740740740736,0.29029857900838163
6,anli_16_13,0.0003,8,0.39051226551226553,0.30035241211959307
7,anli_16_13,0.0002,8,0.3203703703703704,0.26031536946635087
8,anli_16_13,0.0001,8,0.3417957351290685,0.3015077142337019
9,anli_16_13_best,0.0003,8,0.39051226551226553,0.30035241211959307
10,anli_16_21,0.0005,8,0.3308763308763309,0.31128794146344196
11,anli_16_21,0.0003,8,0.41043802423112763,0.31704934554158365
12,anli_16_21,0.0002,8,0.48012381883349625,0.33591031447611436
13,anli_16_21,0.0001,8,0.3885885885885885,0.356894849828901
14,anli_16_21_best,0.0002,8,0.48012381883349625,0.33591031447611436
15,anli_16_42,0.0005,8,0.40226272784412315,0.28702244443855696
16,anli_16_42,0.0003,8,0.3377564464520986,0.31991065701906835
17,anli_16_42,0.0002,8,0.36507936507936506,0.3353144757333524
18,anli_16_42,0.0001,8,0.27777777777777773,0.2675538461538461
19,anli_16_42_best,0.0005,8,0.40226272784412315,0.28702244443855696
20,anli_16_87,0.0005,8,0.314896331738437,0.21200348327237606
21,anli_16_87,0.0003,8,0.4402116402116403,0.2654769529354682
22,anli_16_87,0.0002,8,0.31403318903318905,0.33569265958070843
23,anli_16_87,0.0001,8,0.4593798449612403,0.32376752600633196
24,anli_16_87_best,0.0001,8,0.4593798449612403,0.32376752600633196
