,prefix,lr,bsz,dev_performance,test_performance
0,dbpedia_14_16_100,0.0005,8,0.9509339907466678,0.49354553846095534
1,dbpedia_14_16_100,0.0003,8,0.9553103307254744,0.4936730339778945
2,dbpedia_14_16_100,0.0002,8,0.9099271600135656,0.7461857484807766
3,dbpedia_14_16_100,0.0001,8,0.8355202223848875,0.7100205450229876
4,dbpedia_14_16_100_best,0.0003,8,0.9553103307254744,0.4936730339778945
5,dbpedia_14_16_13,0.0005,8,0.8675611914803335,0.7197294885983347
6,dbpedia_14_16_13,0.0003,8,0.7443759124551743,0.5502970037741991
7,dbpedia_14_16_13,0.0002,8,0.882410698883659,0.76164932724946
8,dbpedia_14_16_13,0.0001,8,0.8765478429886128,0.7420019400166277
9,dbpedia_14_16_13_best,0.0002,8,0.882410698883659,0.76164932724946
10,dbpedia_14_16_21,0.0005,8,0.8607318310789048,0.4934894878861337
11,dbpedia_14_16_21,0.0003,8,0.9591976820053534,0.6375319842997531
12,dbpedia_14_16_21,0.0002,8,0.93033521100748,0.5818189280766467
13,dbpedia_14_16_21,0.0001,8,0.9548715362876872,0.6935215389470697
14,dbpedia_14_16_21_best,0.0003,8,0.9591976820053534,0.6375319842997531
15,dbpedia_14_16_42,0.0005,8,0.9640098589238507,0.6733587575388905
16,dbpedia_14_16_42,0.0003,8,0.8525601688620122,0.6072825735624926
17,dbpedia_14_16_42,0.0002,8,0.8800203613652966,0.7870766545555669
18,dbpedia_14_16_42,0.0001,8,0.8307547453688505,0.6954592721945151
19,dbpedia_14_16_42_best,0.0005,8,0.9640098589238507,0.6733587575388905
20,dbpedia_14_16_87,0.0005,8,0.7805738220928473,0.2833378706761773
21,dbpedia_14_16_87,0.0003,8,0.8686342674602273,0.672926937760794
22,dbpedia_14_16_87,0.0002,8,0.9867213747669157,0.615591481326192
23,dbpedia_14_16_87,0.0001,8,0.90001322932854,0.7991494906680383
24,dbpedia_14_16_87_best,0.0002,8,0.9867213747669157,0.615591481326192
