,prefix,lr,bsz,dev_performance,test_performance
0,emo_16_100,0.0005,8,0.6720238095238095,0.3672400477796371
1,emo_16_100,0.0003,8,0.39166666666666666,0.11942601056055605
2,emo_16_100,0.0002,8,0.7417238667238667,0.4291332251677281
3,emo_16_100,0.0001,8,0.5116892911010558,0.17065471296367846
4,emo_16_100_best,0.0002,8,0.7417238667238667,0.4291332251677281
5,emo_16_13,0.0005,8,0.749229127134725,0.10125974548429764
6,emo_16_13,0.0003,8,0.6907444067370537,0.3073665469563368
7,emo_16_13,0.0002,8,0.7404804804804805,0.35538308729168494
8,emo_16_13,0.0001,8,0.7310912698412699,0.35753057997407134
9,emo_16_13_best,0.0005,8,0.749229127134725,0.10125974548429764
10,emo_16_21,0.0005,8,0.35389610389610393,0.09624342095279476
11,emo_16_21,0.0003,8,0.6367886178861788,0.2801058667883809
12,emo_16_21,0.0002,8,0.7208333333333333,0.36529631320209033
13,emo_16_21,0.0001,8,0.5080781287677839,0.14871698132510858
14,emo_16_21_best,0.0002,8,0.7208333333333333,0.36529631320209033
15,emo_16_42,0.0005,8,0.7484106569027315,0.3335596887945225
16,emo_16_42,0.0003,8,0.7618228381096028,0.4081037935712178
17,emo_16_42,0.0002,8,0.7455598455598456,0.4322034975712033
18,emo_16_42,0.0001,8,0.537719298245614,0.1528975225354412
19,emo_16_42_best,0.0003,8,0.7618228381096028,0.4081037935712178
20,emo_16_87,0.0005,8,0.7645405669599218,0.4266098395438303
21,emo_16_87,0.0003,8,0.7904804804804805,0.45932463797624035
22,emo_16_87,0.0002,8,0.7769100743745773,0.5334462112668948
23,emo_16_87,0.0001,8,0.4950772200772201,0.15903312063988745
24,emo_16_87_best,0.0003,8,0.7904804804804805,0.45932463797624035
