,prefix,lr,bsz,dev_performance,test_performance
0,ethos-race_16_100,0.0005,8,0.7117117117117117,0.4719830628087508
1,ethos-race_16_100,0.0003,8,0.8398398398398398,0.7871819960861057
2,ethos-race_16_100,0.0002,8,0.8745098039215686,0.6337127709340402
3,ethos-race_16_100,0.0001,8,0.7702564102564102,0.5569444444444445
4,ethos-race_16_100_best,0.0002,8,0.8745098039215686,0.6337127709340402
5,ethos-race_16_13,0.0005,8,0.7810361681329424,0.683531746031746
6,ethos-race_16_13,0.0003,8,0.7793103448275862,0.6216824111560955
7,ethos-race_16_13,0.0002,8,0.7810361681329424,0.6145148968678381
8,ethos-race_16_13,0.0001,8,0.6000000000000001,0.46267454350161114
9,ethos-race_16_13_best,0.0005,8,0.7810361681329424,0.683531746031746
10,ethos-race_16_21,0.0005,8,0.7810361681329424,0.6968641114982579
11,ethos-race_16_21,0.0003,8,0.7793103448275862,0.6164897959183674
12,ethos-race_16_21,0.0002,8,0.6825396825396826,0.38108522806528106
13,ethos-race_16_21,0.0001,8,0.6113360323886641,0.43137254901960786
14,ethos-race_16_21_best,0.0005,8,0.7810361681329424,0.6968641114982579
15,ethos-race_16_42,0.0005,8,0.6825396825396826,0.5862771739130435
16,ethos-race_16_42,0.0003,8,0.906158357771261,0.6025055268975681
17,ethos-race_16_42,0.0002,8,0.8125,0.5879297173414821
18,ethos-race_16_42,0.0001,8,0.7117117117117117,0.4884452345138794
19,ethos-race_16_42_best,0.0003,8,0.906158357771261,0.6025055268975681
20,ethos-race_16_87,0.0005,8,0.7046153846153846,0.8032887975334019
21,ethos-race_16_87,0.0003,8,0.8435972629521017,0.5122384794202106
22,ethos-race_16_87,0.0002,8,0.7757757757757757,0.4860365198711064
23,ethos-race_16_87,0.0001,8,0.5933528836754642,0.5509834007532431
24,ethos-race_16_87_best,0.0003,8,0.8435972629521017,0.5122384794202106
