,prefix,lr,bsz,dev_performance,test_performance
0,ethos-religion_16_100,0.0005,8,0.9687194525904204,0.9141842572499508
1,ethos-religion_16_100,0.0003,8,0.5844155844155844,0.494969040247678
2,ethos-religion_16_100,0.0002,8,0.7046153846153846,0.548963133640553
3,ethos-religion_16_100,0.0001,8,0.7046153846153846,0.7319542253521127
4,ethos-religion_16_100_best,0.0005,8,0.9687194525904204,0.9141842572499508
5,ethos-religion_16_13,0.0005,8,0.6389743589743591,0.4059445708930245
6,ethos-religion_16_13,0.0003,8,0.906158357771261,0.7044836956521738
7,ethos-religion_16_13,0.0002,8,0.6875,0.5885876418663304
8,ethos-religion_16_13,0.0001,8,0.7046153846153846,0.68214055448098
9,ethos-religion_16_13_best,0.0003,8,0.906158357771261,0.7044836956521738
10,ethos-religion_16_21,0.0005,8,0.4920634920634921,0.4296275631189845
11,ethos-religion_16_21,0.0003,8,0.6235294117647059,0.43931256713211597
12,ethos-religion_16_21,0.0002,8,0.6825396825396826,0.7078358208955224
13,ethos-religion_16_21,0.0001,8,0.6862745098039216,0.523905529953917
14,ethos-religion_16_21_best,0.0001,8,0.6862745098039216,0.523905529953917
15,ethos-religion_16_42,0.0005,8,0.5733333333333335,0.6073500967117988
16,ethos-religion_16_42,0.0003,8,0.9687194525904204,0.8561507936507936
17,ethos-religion_16_42,0.0002,8,0.8117647058823529,0.6692982456140351
18,ethos-religion_16_42,0.0001,8,0.6825396825396826,0.4836438923395445
19,ethos-religion_16_42_best,0.0003,8,0.9687194525904204,0.8561507936507936
20,ethos-religion_16_87,0.0005,8,1.0,0.7452196382428942
21,ethos-religion_16_87,0.0003,8,0.9054187192118226,0.7422423202869172
22,ethos-religion_16_87,0.0002,8,0.8095238095238095,0.7046296296296297
23,ethos-religion_16_87,0.0001,8,0.6825396825396826,0.5862771739130435
24,ethos-religion_16_87_best,0.0005,8,1.0,0.7452196382428942
