,prefix,lr,bsz,dev_performance,test_performance
0,yelp_polarity_16_100,0.0005,8,0.906158357771261,0.9191997521811236
1,yelp_polarity_16_100,0.0003,8,0.9687194525904204,0.9514404064751735
2,yelp_polarity_16_100,0.0002,8,0.9375,0.9266716468002641
3,yelp_polarity_16_100,0.0001,8,0.9372549019607843,0.9356402115682277
4,yelp_polarity_16_100_best,0.0003,8,0.9687194525904204,0.9514404064751735
5,yelp_polarity_16_13,0.0005,8,0.873015873015873,0.9096066292685365
6,yelp_polarity_16_13,0.0003,8,0.8745098039215686,0.9402311045480345
7,yelp_polarity_16_13,0.0002,8,0.906158357771261,0.9536830526026308
8,yelp_polarity_16_13,0.0001,8,0.9054187192118226,0.953538827559206
9,yelp_polarity_16_13_best,0.0002,8,0.906158357771261,0.9536830526026308
10,yelp_polarity_16_21,0.0005,8,0.9372549019607843,0.9304680514835839
11,yelp_polarity_16_21,0.0003,8,0.9375,0.9534193461796487
12,yelp_polarity_16_21,0.0002,8,0.9375,0.9534204203879775
13,yelp_polarity_16_21,0.0001,8,0.906158357771261,0.9204724465608525
14,yelp_polarity_16_21_best,0.0003,8,0.9375,0.9534193461796487
15,yelp_polarity_16_42,0.0005,8,0.9687194525904204,0.9497281385281384
16,yelp_polarity_16_42,0.0003,8,0.9687194525904204,0.9389050589050589
17,yelp_polarity_16_42,0.0002,8,0.9687194525904204,0.9572340870505178
18,yelp_polarity_16_42,0.0001,8,0.9687194525904204,0.9065833333333333
19,yelp_polarity_16_42_best,0.0005,8,0.9687194525904204,0.9497281385281384
20,yelp_polarity_16_87,0.0005,8,0.6190476190476191,0.5359257119495485
21,yelp_polarity_16_87,0.0003,8,0.906158357771261,0.8965380532428957
22,yelp_polarity_16_87,0.0002,8,1.0,0.9410415911677643
23,yelp_polarity_16_87,0.0001,8,0.9687194525904204,0.922616374178868
24,yelp_polarity_16_87_best,0.0002,8,1.0,0.9410415911677643
