,prefix,lr,bsz,dev_performance,test_performance
0,amazon_polarity_16_100,0.5,8,0.6862745098039216,0.3324432576769025
1,amazon_polarity_16_100,0.4,8,0.5835835835835835,0.44070056249543427
2,amazon_polarity_16_100,0.3,8,0.5555555555555556,0.33730947647448645
3,amazon_polarity_16_100,0.2,8,0.4817813765182186,0.39025530721032453
4,amazon_polarity_16_100_best,0.5,8,0.6862745098039216,0.3324432576769025
5,amazon_polarity_16_13,0.5,8,0.6476476476476476,0.3328885923949299
6,amazon_polarity_16_13,0.4,8,0.7184750733137829,0.4157628728946123
7,amazon_polarity_16_13,0.3,8,0.6235294117647059,0.03733729699620863
8,amazon_polarity_16_13,0.2,8,0.6532019704433498,0.5000783009890016
9,amazon_polarity_16_13_best,0.4,8,0.7184750733137829,0.4157628728946123
10,amazon_polarity_16_21,0.5,8,0.6559139784946237,0.35811343358870074
11,amazon_polarity_16_21,0.4,8,0.6761133603238867,0.3896849279579107
12,amazon_polarity_16_21,0.3,8,0.746031746031746,0.34655952503616094
13,amazon_polarity_16_21,0.2,8,0.6476476476476476,0.343707997311828
14,amazon_polarity_16_21_best,0.3,8,0.746031746031746,0.34655952503616094
15,amazon_polarity_16_42,0.5,8,0.6532019704433498,0.4577697082225938
16,amazon_polarity_16_42,0.4,8,0.6389743589743591,0.34512115258677145
17,amazon_polarity_16_42,0.3,8,0.6190476190476191,0.39207038719589704
18,amazon_polarity_16_42,0.2,8,0.6875,0.38854339104887176
19,amazon_polarity_16_42_best,0.2,8,0.6875,0.38854339104887176
20,amazon_polarity_16_87,0.5,8,0.6190476190476191,0.34248582523299587
21,amazon_polarity_16_87,0.4,8,0.4920634920634921,0.3508005708791774
22,amazon_polarity_16_87,0.3,8,0.6536796536796536,0.33675483616265295
23,amazon_polarity_16_87,0.2,8,0.625,0.5363010068892422
24,amazon_polarity_16_87_best,0.3,8,0.6536796536796536,0.33675483616265295
