,prefix,lr,bsz,dev_performance,test_performance
0,anli_16_100,0.5,8,0.3680555555555555,0.20188593029535162
1,anli_16_100,0.4,8,0.392434988179669,0.16275890419789663
2,anli_16_100,0.3,8,0.3324979114452799,0.2681222925627395
3,anli_16_100,0.2,8,0.3668959766520743,0.20879697623237495
4,anli_16_100_best,0.4,8,0.392434988179669,0.16275890419789663
5,anli_16_13,0.5,8,0.3682836682836683,0.16666666666666666
6,anli_16_13,0.4,8,0.31116794543904525,0.16591478696741854
7,anli_16_13,0.3,8,0.3288888888888889,0.2095367674102834
8,anli_16_13,0.2,8,0.35232668566001896,0.2081930073198112
9,anli_16_13_best,0.5,8,0.3682836682836683,0.16666666666666666
10,anli_16_21,0.5,8,0.316624895572264,0.16654163540885222
11,anli_16_21,0.4,8,0.3470813612801442,0.3257579307319291
12,anli_16_21,0.3,8,0.38398999374609133,0.2564444444444444
13,anli_16_21,0.2,8,0.3308541807527609,0.21647770219198792
14,anli_16_21_best,0.3,8,0.38398999374609133,0.2564444444444444
15,anli_16_42,0.5,8,0.316624895572264,0.21613435518043442
16,anli_16_42,0.4,8,0.3341687552213868,0.18130888719124014
17,anli_16_42,0.3,8,0.3182957393483709,0.23777259214686752
18,anli_16_42,0.2,8,0.31339031339031337,0.17258382642998027
19,anli_16_42_best,0.4,8,0.3341687552213868,0.18130888719124014
20,anli_16_87,0.5,8,0.4222045539874997,0.16616616616616617
21,anli_16_87,0.4,8,0.3341687552213868,0.17010943181008054
22,anli_16_87,0.3,8,0.28012654587287894,0.1708396178984414
23,anli_16_87,0.2,8,0.3888888888888889,0.20801951966295118
24,anli_16_87_best,0.5,8,0.4222045539874997,0.16616616616616617
