,prefix,lr,bsz,dev_performance,test_performance
0,dbpedia_14_16_100,0.5,8,0.04432477578843327,0.023875923338934204
1,dbpedia_14_16_100,0.4,8,0.029939448306795242,0.01032014937030318
2,dbpedia_14_16_100,0.3,8,0.057208494105952475,0.02456602935319094
3,dbpedia_14_16_100,0.2,8,0.022755022755022756,0.018051520217364527
4,dbpedia_14_16_100_best,0.3,8,0.057208494105952475,0.02456602935319094
5,dbpedia_14_16_13,0.5,8,0.05073847720906544,0.038259771798485796
6,dbpedia_14_16_13,0.4,8,0.06516385181171515,0.010976206037807258
7,dbpedia_14_16_13,0.3,8,0.03710954543557523,0.022604623886511212
8,dbpedia_14_16_13,0.2,8,0.014260249554367202,0.009421366853918431
9,dbpedia_14_16_13_best,0.4,8,0.06516385181171515,0.010976206037807258
10,dbpedia_14_16_21,0.5,8,0.041766992009616484,0.020563831641487916
11,dbpedia_14_16_21,0.4,8,0.0974534460248746,0.024796410449270802
12,dbpedia_14_16_21,0.3,8,0.06924076415226858,0.0324147873038956
13,dbpedia_14_16_21,0.2,8,0.016563146997929608,0.00845764517847629
14,dbpedia_14_16_21_best,0.4,8,0.0974534460248746,0.024796410449270802
15,dbpedia_14_16_42,0.5,8,0.053591332039607906,0.016398710930653003
16,dbpedia_14_16_42,0.4,8,0.040695523492415835,0.023266602662076828
17,dbpedia_14_16_42,0.3,8,0.1344761904761905,0.03747214363688023
18,dbpedia_14_16_42,0.2,8,0.03912123141539046,0.015359320350031982
19,dbpedia_14_16_42_best,0.3,8,0.1344761904761905,0.03747214363688023
20,dbpedia_14_16_87,0.5,8,0.14547686364136386,0.06773288806529465
21,dbpedia_14_16_87,0.4,8,0.1314872686149965,0.044611436164297524
22,dbpedia_14_16_87,0.3,8,0.07905557967867997,0.07702843428749123
23,dbpedia_14_16_87,0.2,8,0.021786492374727663,0.0079622576448645
24,dbpedia_14_16_87_best,0.5,8,0.14547686364136386,0.06773288806529465
