,prefix,lr,bsz,dev_performance,test_performance
0,emo_16_100,0.5,8,0.2389205792014041,0.026447938276054857
1,emo_16_100,0.4,8,0.32755681818181814,0.03837510295328862
2,emo_16_100,0.3,8,0.31398852223816354,0.023372531036438656
3,emo_16_100,0.2,8,0.2534090909090909,0.046615582236015765
4,emo_16_100_best,0.4,8,0.32755681818181814,0.03837510295328862
5,emo_16_13,0.5,8,0.27885197077574575,0.048499850578349685
6,emo_16_13,0.4,8,0.2695754716981132,0.021632937892533146
7,emo_16_13,0.3,8,0.27818057455540357,0.029750616414230362
8,emo_16_13,0.2,8,0.24009264024704066,0.03852125406068953
9,emo_16_13_best,0.5,8,0.27885197077574575,0.048499850578349685
10,emo_16_21,0.5,8,0.21222222222222223,0.026913654432837202
11,emo_16_21,0.4,8,0.2326299536798765,0.04722412428196605
12,emo_16_21,0.3,8,0.2199197860962567,0.023288991432730537
13,emo_16_21,0.2,8,0.23832528180354268,0.03381959452505917
14,emo_16_21_best,0.2,8,0.23832528180354268,0.03381959452505917
15,emo_16_42,0.5,8,0.2779761904761905,0.04123852550017867
16,emo_16_42,0.4,8,0.22252747252747254,0.042435763116924555
17,emo_16_42,0.3,8,0.21895424836601307,0.03280033498274193
18,emo_16_42,0.2,8,0.234375,0.039105738486065716
19,emo_16_42_best,0.5,8,0.2779761904761905,0.04123852550017867
20,emo_16_87,0.5,8,0.23725055432372505,0.03107773479858223
21,emo_16_87,0.4,8,0.2109375,0.04203101432954363
22,emo_16_87,0.3,8,0.202020202020202,0.02470582458395829
23,emo_16_87,0.2,8,0.24628879892037786,0.04294689050786612
24,emo_16_87_best,0.2,8,0.24628879892037786,0.04294689050786612
