,prefix,lr,bsz,dev_performance,test_performance
0,ethos-race_16_100,0.5,8,0.6000000000000001,0.5316985645933014
1,ethos-race_16_100,0.4,8,0.5270935960591133,0.4387096774193549
2,ethos-race_16_100,0.3,8,0.6113360323886641,0.445859872611465
3,ethos-race_16_100,0.2,8,0.5844155844155844,0.4396135265700483
4,ethos-race_16_100_best,0.3,8,0.6113360323886641,0.445859872611465
5,ethos-race_16_13,0.5,8,0.6113360323886641,0.4387096774193549
6,ethos-race_16_13,0.4,8,0.6267232237539766,0.4958427815570673
7,ethos-race_16_13,0.3,8,0.5844155844155844,0.445859872611465
8,ethos-race_16_13,0.2,8,0.4589371980676329,0.5042735042735043
9,ethos-race_16_13_best,0.4,8,0.6267232237539766,0.4958427815570673
10,ethos-race_16_21,0.5,8,0.3454545454545454,0.445859872611465
11,ethos-race_16_21,0.4,8,0.3992490613266583,0.43506493506493504
12,ethos-race_16_21,0.3,8,0.5134502923976608,0.44936708860759494
13,ethos-race_16_21,0.2,8,0.4181818181818182,0.5110528287748219
14,ethos-race_16_21_best,0.3,8,0.5134502923976608,0.44936708860759494
15,ethos-race_16_42,0.5,8,0.5333333333333333,0.44936708860759494
16,ethos-race_16_42,0.4,8,0.6862745098039216,0.5316985645933014
17,ethos-race_16_42,0.3,8,0.6666666666666667,0.4813977389516958
18,ethos-race_16_42,0.2,8,0.5076923076923077,0.445859872611465
19,ethos-race_16_42_best,0.4,8,0.6862745098039216,0.5316985645933014
20,ethos-race_16_87,0.5,8,0.5151515151515151,0.445859872611465
21,ethos-race_16_87,0.4,8,0.5607843137254902,0.445859872611465
22,ethos-race_16_87,0.3,8,0.5636363636363637,0.445859872611465
23,ethos-race_16_87,0.2,8,0.5607843137254902,0.44936708860759494
24,ethos-race_16_87_best,0.3,8,0.5636363636363637,0.445859872611465
