,prefix,lr,bsz,dev_performance,test_performance
0,superglue-cb_16_100,0.5,8,0.5,0.5178571428571429
1,superglue-cb_16_100,0.4,8,0.5,0.48214285714285715
2,superglue-cb_16_100,0.3,8,0.5,0.17857142857142858
3,superglue-cb_16_100,0.2,8,0.46875,0.08928571428571429
4,superglue-cb_16_100_best,0.5,8,0.5,0.5178571428571429
5,superglue-cb_16_13,0.5,8,0.59375,0.3392857142857143
6,superglue-cb_16_13,0.4,8,0.5,0.23214285714285715
7,superglue-cb_16_13,0.3,8,0.5,0.4642857142857143
8,superglue-cb_16_13,0.2,8,0.5,0.30357142857142855
9,superglue-cb_16_13_best,0.5,8,0.59375,0.3392857142857143
10,superglue-cb_16_21,0.5,8,0.59375,0.4642857142857143
11,superglue-cb_16_21,0.4,8,0.4375,0.10714285714285714
12,superglue-cb_16_21,0.3,8,0.5,0.10714285714285714
13,superglue-cb_16_21,0.2,8,0.375,0.08928571428571429
14,superglue-cb_16_21_best,0.5,8,0.59375,0.4642857142857143
15,superglue-cb_16_42,0.5,8,0.4375,0.17857142857142858
16,superglue-cb_16_42,0.4,8,0.5,0.125
17,superglue-cb_16_42,0.3,8,0.34375,0.14285714285714285
18,superglue-cb_16_42,0.2,8,0.5,0.08928571428571429
19,superglue-cb_16_42_best,0.4,8,0.5,0.125
20,superglue-cb_16_87,0.5,8,0.5,0.48214285714285715
21,superglue-cb_16_87,0.4,8,0.5,0.5
22,superglue-cb_16_87,0.3,8,0.46875,0.14285714285714285
23,superglue-cb_16_87,0.2,8,0.5,0.32142857142857145
24,superglue-cb_16_87_best,0.5,8,0.5,0.48214285714285715
