,prefix,lr,bsz,dev_performance,test_performance
0,wiki_qa_16_100,0.5,8,0.5901477832512315,0.48685692827638
1,wiki_qa_16_100,0.4,8,0.3992490613266583,0.48685692827638
2,wiki_qa_16_100,0.3,8,0.539313399778516,0.502977949533985
3,wiki_qa_16_100,0.2,8,0.5076923076923077,0.49908357771261
4,wiki_qa_16_100_best,0.5,8,0.5901477832512315,0.48685692827638
5,wiki_qa_16_13,0.5,8,0.6113360323886641,0.5087872108456579
6,wiki_qa_16_13,0.4,8,0.625,0.5243206452727069
7,wiki_qa_16_13,0.3,8,0.5607843137254902,0.4867605633802817
8,wiki_qa_16_13,0.2,8,0.5733333333333335,0.4859883392890728
9,wiki_qa_16_13_best,0.4,8,0.625,0.5243206452727069
10,wiki_qa_16_21,0.5,8,0.4909862142099682,0.42259367426831534
11,wiki_qa_16_21,0.4,8,0.5844155844155844,0.494706366379179
12,wiki_qa_16_21,0.3,8,0.6536796536796536,0.4860849943587815
13,wiki_qa_16_21,0.2,8,0.46843853820598,0.5013749285262873
14,wiki_qa_16_21_best,0.3,8,0.6536796536796536,0.4860849943587815
15,wiki_qa_16_42,0.5,8,0.5588547189819725,0.5088066139468008
16,wiki_qa_16_42,0.4,8,0.4909862142099682,0.5261583186014536
17,wiki_qa_16_42,0.3,8,0.6113360323886641,0.4994162466591491
18,wiki_qa_16_42,0.2,8,0.5588547189819725,0.2684058222794503
19,wiki_qa_16_42_best,0.3,8,0.6113360323886641,0.4994162466591491
20,wiki_qa_16_87,0.5,8,0.539313399778516,0.47149750596399914
21,wiki_qa_16_87,0.4,8,0.5555555555555556,0.48685692827638
22,wiki_qa_16_87,0.3,8,0.5465587044534412,0.4962998828582585
23,wiki_qa_16_87,0.2,8,0.49090909090909085,0.4881005168037674
24,wiki_qa_16_87_best,0.4,8,0.5555555555555556,0.48685692827638
