,prefix,lr,bsz,dev_performance,test_performance
0,yelp_polarity_16_100,0.5,8,0.6559139784946237,0.501826077880084
1,yelp_polarity_16_100,0.4,8,0.6113360323886641,0.5078651852845402
2,yelp_polarity_16_100,0.3,8,0.5844155844155844,0.048816325172429176
3,yelp_polarity_16_100,0.2,8,0.625,0.33612656488759013
4,yelp_polarity_16_100_best,0.5,8,0.6559139784946237,0.501826077880084
5,yelp_polarity_16_13,0.5,8,0.5901477832512315,0.33652061106085157
6,yelp_polarity_16_13,0.4,8,0.5307917888563051,0.5216778714550943
7,yelp_polarity_16_13,0.3,8,0.5835835835835835,0.43841512508530206
8,yelp_polarity_16_13,0.2,8,0.539313399778516,0.13019083529862463
9,yelp_polarity_16_13_best,0.5,8,0.5901477832512315,0.33652061106085157
10,yelp_polarity_16_21,0.5,8,0.5733333333333335,0.33595456531236345
11,yelp_polarity_16_21,0.4,8,0.6825396825396826,0.3400754911354648
12,yelp_polarity_16_21,0.3,8,0.5933528836754642,0.2972899506191686
13,yelp_polarity_16_21,0.2,8,0.805668016194332,0.020193275956056658
14,yelp_polarity_16_21_best,0.2,8,0.805668016194332,0.020193275956056658
15,yelp_polarity_16_42,0.5,8,0.5588547189819725,0.3331578485566377
16,yelp_polarity_16_42,0.4,8,0.6875,0.48911470633245646
17,yelp_polarity_16_42,0.3,8,0.6101882613510521,0.33344996436479085
18,yelp_polarity_16_42,0.2,8,0.6532019704433498,0.004533113827230674
19,yelp_polarity_16_42_best,0.4,8,0.6875,0.48911470633245646
20,yelp_polarity_16_87,0.5,8,0.6875,0.4074642728163855
21,yelp_polarity_16_87,0.4,8,0.6000000000000001,0.4515768822891439
22,yelp_polarity_16_87,0.3,8,0.5555555555555556,0.3335085412473784
23,yelp_polarity_16_87,0.2,8,0.6532019704433498,0.10097466452466913
24,yelp_polarity_16_87_best,0.5,8,0.6875,0.4074642728163855
