,prefix,lr,bsz,dev_performance,test_performance
0,amazon_polarity_16_100,0.5,8,0.46843853820598,0.3328885923949299
1,amazon_polarity_16_100,0.4,8,0.5835835835835835,0.331036866571426
2,amazon_polarity_16_100,0.3,8,0.5307917888563051,0.33375277327063807
3,amazon_polarity_16_100,0.2,8,0.3992490613266583,0.3514319631416584
4,amazon_polarity_16_100_best,0.4,8,0.5835835835835835,0.331036866571426
5,amazon_polarity_16_13,0.5,8,0.6875,0.4533299535483162
6,amazon_polarity_16_13,0.4,8,0.7490196078431373,0.47182887255470773
7,amazon_polarity_16_13,0.3,8,0.6559139784946237,0.47037337662337664
8,amazon_polarity_16_13,0.2,8,0.6875,0.45080173942793345
9,amazon_polarity_16_13_best,0.4,8,0.7490196078431373,0.47182887255470773
10,amazon_polarity_16_21,0.5,8,0.3816425120772947,0.4104102059386084
11,amazon_polarity_16_21,0.4,8,0.3992490613266583,0.39884676726781987
12,amazon_polarity_16_21,0.3,8,0.4385964912280702,0.4075468693652555
13,amazon_polarity_16_21,0.2,8,0.3816425120772947,0.4091215807256179
14,amazon_polarity_16_21_best,0.3,8,0.4385964912280702,0.4075468693652555
15,amazon_polarity_16_42,0.5,8,0.5835835835835835,0.4900147073177954
16,amazon_polarity_16_42,0.4,8,0.6190476190476191,0.5091488597982105
17,amazon_polarity_16_42,0.3,8,0.5607843137254902,0.532283569789973
18,amazon_polarity_16_42,0.2,8,0.5835835835835835,0.5571288694735257
19,amazon_polarity_16_42_best,0.4,8,0.6190476190476191,0.5091488597982105
20,amazon_polarity_16_87,0.5,8,0.5134502923976608,0.345591184479956
21,amazon_polarity_16_87,0.4,8,0.5844155844155844,0.39838593118842386
22,amazon_polarity_16_87,0.3,8,0.5844155844155844,0.38413762471213103
23,amazon_polarity_16_87,0.2,8,0.5134502923976608,0.38527814934298527
24,amazon_polarity_16_87_best,0.4,8,0.5844155844155844,0.39838593118842386
