,prefix,lr,bsz,dev_performance,test_performance
0,dbpedia_14_16_100,0.5,8,0.6664702370618898,0.28952662875832763
1,dbpedia_14_16_100,0.4,8,0.6206961504867482,0.2655662030944191
2,dbpedia_14_16_100,0.3,8,0.5234964749910304,0.14163478437566152
3,dbpedia_14_16_100,0.2,8,0.5035235606567374,0.14166563649230043
4,dbpedia_14_16_100_best,0.5,8,0.6664702370618898,0.28952662875832763
5,dbpedia_14_16_13,0.5,8,0.656294644427364,0.3475793006374498
6,dbpedia_14_16_13,0.4,8,0.7572429597919794,0.3094864968159179
7,dbpedia_14_16_13,0.3,8,0.6283857038623236,0.22678688553921758
8,dbpedia_14_16_13,0.2,8,0.5610991655183694,0.19132566812166832
9,dbpedia_14_16_13_best,0.4,8,0.7572429597919794,0.3094864968159179
10,dbpedia_14_16_21,0.5,8,0.7125912269791526,0.251529457532102
11,dbpedia_14_16_21,0.4,8,0.5451205044093885,0.1490095654550946
12,dbpedia_14_16_21,0.3,8,0.5185460927442817,0.18968790860185245
13,dbpedia_14_16_21,0.2,8,0.4722289573244759,0.17965025799953324
14,dbpedia_14_16_21_best,0.5,8,0.7125912269791526,0.251529457532102
15,dbpedia_14_16_42,0.5,8,0.4870131073648216,0.22521467901078668
16,dbpedia_14_16_42,0.4,8,0.5410753259914368,0.2168230204016608
17,dbpedia_14_16_42,0.3,8,0.4578995363877278,0.17216984638494673
18,dbpedia_14_16_42,0.2,8,0.48210911671316004,0.1238813975355325
19,dbpedia_14_16_42_best,0.4,8,0.5410753259914368,0.2168230204016608
20,dbpedia_14_16_87,0.5,8,0.6167040112613459,0.2620547890596715
21,dbpedia_14_16_87,0.4,8,0.5942302463655917,0.2031005213820054
22,dbpedia_14_16_87,0.3,8,0.6710159704729729,0.16766593739159386
23,dbpedia_14_16_87,0.2,8,0.4684274225952281,0.27969846356523553
24,dbpedia_14_16_87_best,0.3,8,0.6710159704729729,0.16766593739159386
