,prefix,lr,bsz,dev_performance,test_performance
0,emo_16_100,0.5,8,0.24104774535809018,0.10980573185676215
1,emo_16_100,0.4,8,0.2065573770491803,0.05126280658379339
2,emo_16_100,0.3,8,0.1982859531772575,0.057494644158672614
3,emo_16_100,0.2,8,0.1778584392014519,0.044621152681889875
4,emo_16_100_best,0.5,8,0.24104774535809018,0.10980573185676215
5,emo_16_13,0.5,8,0.2961301912069176,0.12066386332039226
6,emo_16_13,0.4,8,0.265245995423341,0.10273527639977276
7,emo_16_13,0.3,8,0.22972385301152423,0.06308911141687151
8,emo_16_13,0.2,8,0.16666666666666666,0.0645849793808082
9,emo_16_13_best,0.5,8,0.2961301912069176,0.12066386332039226
10,emo_16_21,0.5,8,0.751259115066123,0.1295880342062252
11,emo_16_21,0.4,8,0.5706043956043956,0.08497876232863517
12,emo_16_21,0.3,8,0.6201587301587301,0.09752211418613203
13,emo_16_21,0.2,8,0.14267676767676768,0.07144068400259924
14,emo_16_21_best,0.5,8,0.751259115066123,0.1295880342062252
15,emo_16_42,0.5,8,0.35618659420289855,0.16480105501429312
16,emo_16_42,0.4,8,0.4520489188231124,0.24099693960340024
17,emo_16_42,0.3,8,0.24154589371980673,0.11372137083967966
18,emo_16_42,0.2,8,0.24447174447174447,0.10169664156978525
19,emo_16_42_best,0.4,8,0.4520489188231124,0.24099693960340024
20,emo_16_87,0.5,8,0.5655735651084488,0.12230081771829042
21,emo_16_87,0.4,8,0.46142686804451505,0.26286077165415145
22,emo_16_87,0.3,8,0.2813816127375449,0.07947565088904372
23,emo_16_87,0.2,8,0.15526315789473685,0.02746894914165758
24,emo_16_87_best,0.5,8,0.5655735651084488,0.12230081771829042
