,prefix,lr,bsz,dev_performance,test_performance
0,ethos-race_16_100,0.5,8,0.8423645320197044,0.7841191066997519
1,ethos-race_16_100,0.4,8,0.4589371980676329,0.5093616061357997
2,ethos-race_16_100,0.3,8,0.4589371980676329,0.4423076923076923
3,ethos-race_16_100,0.2,8,0.3992490613266583,0.49155844155844153
4,ethos-race_16_100_best,0.5,8,0.8423645320197044,0.7841191066997519
5,ethos-race_16_13,0.5,8,0.6113360323886641,0.4701105346266637
6,ethos-race_16_13,0.4,8,0.6875,0.4460408163265306
7,ethos-race_16_13,0.3,8,0.7408906882591093,0.4813977389516958
8,ethos-race_16_13,0.2,8,0.6101882613510521,0.445859872611465
9,ethos-race_16_13_best,0.3,8,0.7408906882591093,0.4813977389516958
10,ethos-race_16_21,0.5,8,0.7490196078431373,0.6608451582722594
11,ethos-race_16_21,0.4,8,0.8117647058823529,0.7065506834723947
12,ethos-race_16_21,0.3,8,0.75,0.6653846153846154
13,ethos-race_16_21,0.2,8,0.3992490613266583,0.48552754435107376
14,ethos-race_16_21_best,0.4,8,0.8117647058823529,0.7065506834723947
15,ethos-race_16_42,0.5,8,0.7184750733137829,0.5972222222222222
16,ethos-race_16_42,0.4,8,0.716256157635468,0.577316133355671
17,ethos-race_16_42,0.3,8,0.6113360323886641,0.45943546955441156
18,ethos-race_16_42,0.2,8,0.5151515151515151,0.5446859903381642
19,ethos-race_16_42_best,0.5,8,0.7184750733137829,0.5972222222222222
20,ethos-race_16_87,0.5,8,0.5636363636363637,0.5396825396825397
21,ethos-race_16_87,0.4,8,0.4589371980676329,0.5741433918802188
22,ethos-race_16_87,0.3,8,0.3992490613266583,0.48552754435107376
23,ethos-race_16_87,0.2,8,0.3992490613266583,0.48552754435107376
24,ethos-race_16_87_best,0.5,8,0.5636363636363637,0.5396825396825397
