,prefix,lr,bsz,dev_performance,test_performance
0,ethos-religion_16_100,0.5,8,0.5076923076923077,0.3886486486486487
1,ethos-religion_16_100,0.4,8,0.4181818181818182,0.5396825396825398
2,ethos-religion_16_100,0.3,8,0.5151515151515151,0.4350649350649351
3,ethos-religion_16_100,0.2,8,0.539313399778516,0.4387096774193549
4,ethos-religion_16_100_best,0.2,8,0.539313399778516,0.4387096774193549
5,ethos-religion_16_13,0.5,8,0.4817813765182186,0.24650233177881412
6,ethos-religion_16_13,0.4,8,0.4980392156862745,0.16346153846153846
7,ethos-religion_16_13,0.3,8,0.6000000000000001,0.2094127220941272
8,ethos-religion_16_13,0.2,8,0.5733333333333335,0.23643617021276597
9,ethos-religion_16_13_best,0.3,8,0.6000000000000001,0.2094127220941272
10,ethos-religion_16_21,0.5,8,0.5607843137254902,0.4898148148148148
11,ethos-religion_16_21,0.4,8,0.5134502923976608,0.4413793103448276
12,ethos-religion_16_21,0.3,8,0.39999999999999997,0.4403508771929825
13,ethos-religion_16_21,0.2,8,0.4458874458874459,0.4877492877492877
14,ethos-religion_16_21_best,0.5,8,0.5607843137254902,0.4898148148148148
15,ethos-religion_16_42,0.5,8,0.5607843137254902,0.4387096774193549
16,ethos-religion_16_42,0.4,8,0.4009852216748768,0.5396825396825398
17,ethos-religion_16_42,0.3,8,0.4817813765182186,0.4387096774193549
18,ethos-religion_16_42,0.2,8,0.3333333333333333,0.4387096774193549
19,ethos-religion_16_42_best,0.5,8,0.5607843137254902,0.4387096774193549
20,ethos-religion_16_87,0.5,8,0.5555555555555556,0.27547918043621944
21,ethos-religion_16_87,0.4,8,0.5151515151515151,0.4276315789473684
22,ethos-religion_16_87,0.3,8,0.5607843137254902,0.3482241953385128
23,ethos-religion_16_87,0.2,8,0.5076923076923077,0.41665367222828625
24,ethos-religion_16_87_best,0.3,8,0.5607843137254902,0.3482241953385128
