,prefix,lr,bsz,dev_performance,test_performance
0,superglue-cb_16_100,0.5,8,0.5,0.08928571428571429
1,superglue-cb_16_100,0.4,8,0.5,0.5
2,superglue-cb_16_100,0.3,8,0.5,0.08928571428571429
3,superglue-cb_16_100,0.2,8,0.5,0.08928571428571429
4,superglue-cb_16_100_best,0.5,8,0.5,0.08928571428571429
5,superglue-cb_16_13,0.5,8,0.5,0.10714285714285714
6,superglue-cb_16_13,0.4,8,0.5,0.14285714285714285
7,superglue-cb_16_13,0.3,8,0.5,0.10714285714285714
8,superglue-cb_16_13,0.2,8,0.5,0.125
9,superglue-cb_16_13_best,0.5,8,0.5,0.10714285714285714
10,superglue-cb_16_21,0.5,8,0.5,0.125
11,superglue-cb_16_21,0.4,8,0.4375,0.08928571428571429
12,superglue-cb_16_21,0.3,8,0.5,0.125
13,superglue-cb_16_21,0.2,8,0.4375,0.10714285714285714
14,superglue-cb_16_21_best,0.5,8,0.5,0.125
15,superglue-cb_16_42,0.5,8,0.28125,0.16071428571428573
16,superglue-cb_16_42,0.4,8,0.4375,0.10714285714285714
17,superglue-cb_16_42,0.3,8,0.375,0.10714285714285714
18,superglue-cb_16_42,0.2,8,0.34375,0.125
19,superglue-cb_16_42_best,0.4,8,0.4375,0.10714285714285714
20,superglue-cb_16_87,0.5,8,0.5,0.5
21,superglue-cb_16_87,0.4,8,0.5,0.48214285714285715
22,superglue-cb_16_87,0.3,8,0.5,0.48214285714285715
23,superglue-cb_16_87,0.2,8,0.5,0.48214285714285715
24,superglue-cb_16_87_best,0.5,8,0.5,0.5
