,prefix,lr,bsz,dev_performance,test_performance
0,wiki_qa_16_100,0.5,8,0.5270935960591133,0.49899427187872025
1,wiki_qa_16_100,0.4,8,0.3992490613266583,0.5021636751377289
2,wiki_qa_16_100,0.3,8,0.4589371980676329,0.5125537607098106
3,wiki_qa_16_100,0.2,8,0.3992490613266583,0.5141851535836178
4,wiki_qa_16_100_best,0.5,8,0.5270935960591133,0.49899427187872025
5,wiki_qa_16_13,0.5,8,0.4817813765182186,0.4786294207571651
6,wiki_qa_16_13,0.4,8,0.3992490613266583,0.486664162283997
7,wiki_qa_16_13,0.3,8,0.4817813765182186,0.48560135516657255
8,wiki_qa_16_13,0.2,8,0.4909862142099682,0.4927586557861902
9,wiki_qa_16_13_best,0.2,8,0.4909862142099682,0.4927586557861902
10,wiki_qa_16_21,0.5,8,0.7184750733137829,0.29864649020185036
11,wiki_qa_16_21,0.4,8,0.75,0.4372868648016889
12,wiki_qa_16_21,0.3,8,0.8117647058823529,0.49041904867374136
13,wiki_qa_16_21,0.2,8,0.7490196078431373,0.3902554282903521
14,wiki_qa_16_21_best,0.3,8,0.8117647058823529,0.49041904867374136
15,wiki_qa_16_42,0.5,8,0.6101882613510521,0.46784690887849395
16,wiki_qa_16_42,0.4,8,0.5844155844155844,0.5012068633121264
17,wiki_qa_16_42,0.3,8,0.5134502923976608,0.5375723722101735
18,wiki_qa_16_42,0.2,8,0.4589371980676329,0.5097358121330724
19,wiki_qa_16_42_best,0.5,8,0.6101882613510521,0.46784690887849395
20,wiki_qa_16_87,0.5,8,0.5555555555555556,0.24800008948145497
21,wiki_qa_16_87,0.4,8,0.5555555555555556,0.3711125190339686
22,wiki_qa_16_87,0.3,8,0.5844155844155844,0.23031769557505702
23,wiki_qa_16_87,0.2,8,0.4909862142099682,0.21574328942749998
24,wiki_qa_16_87_best,0.3,8,0.5844155844155844,0.23031769557505702
