,prefix,lr,bsz,dev_performance,test_performance
0,amazon_polarity_16_100,0.5,8,0.6476476476476476,0.3328885923949299
1,amazon_polarity_16_100,0.4,8,0.6000000000000001,0.3364018676115103
2,amazon_polarity_16_100,0.3,8,0.6000000000000001,0.3328885923949299
3,amazon_polarity_16_100,0.2,8,0.5307917888563051,0.46330621564174335
4,amazon_polarity_16_100_best,0.5,8,0.6476476476476476,0.3328885923949299
5,amazon_polarity_16_13,0.5,8,0.5844155844155844,0.41235235352882416
6,amazon_polarity_16_13,0.4,8,0.5733333333333335,0.498999498999499
7,amazon_polarity_16_13,0.3,8,0.6476476476476476,0.3159110404530679
8,amazon_polarity_16_13,0.2,8,0.5151515151515151,0.4339439370036542
9,amazon_polarity_16_13_best,0.3,8,0.6476476476476476,0.3159110404530679
10,amazon_polarity_16_21,0.5,8,0.4920634920634921,0.3663323085441008
11,amazon_polarity_16_21,0.4,8,0.7117117117117117,0.4776110230219895
12,amazon_polarity_16_21,0.3,8,0.6559139784946237,0.3328885923949299
13,amazon_polarity_16_21,0.2,8,0.5901477832512315,0.07325330871037242
14,amazon_polarity_16_21_best,0.4,8,0.7117117117117117,0.4776110230219895
15,amazon_polarity_16_42,0.5,8,0.5844155844155844,0.3974594519844327
16,amazon_polarity_16_42,0.4,8,0.5270935960591133,0.40369146737768913
17,amazon_polarity_16_42,0.3,8,0.5835835835835835,0.36281706222983434
18,amazon_polarity_16_42,0.2,8,0.6476476476476476,0.43350062248414967
19,amazon_polarity_16_42_best,0.2,8,0.6476476476476476,0.43350062248414967
20,amazon_polarity_16_87,0.5,8,0.6113360323886641,0.33420337832102537
21,amazon_polarity_16_87,0.4,8,0.6000000000000001,0.3525287492712724
22,amazon_polarity_16_87,0.3,8,0.5901477832512315,0.449558214786839
23,amazon_polarity_16_87,0.2,8,0.6190476190476191,0.5229080124104694
24,amazon_polarity_16_87_best,0.2,8,0.6190476190476191,0.5229080124104694
