,prefix,lr,bsz,dev_performance,test_performance
0,ethos-religion_16_100,0.5,8,0.3333333333333333,0.49155844155844153
1,ethos-religion_16_100,0.4,8,0.4458874458874459,0.2330123423301234
2,ethos-religion_16_100,0.3,8,0.6000000000000001,0.4350649350649351
3,ethos-religion_16_100,0.2,8,0.4458874458874459,0.5166666666666667
4,ethos-religion_16_100_best,0.3,8,0.6000000000000001,0.4350649350649351
5,ethos-religion_16_13,0.5,8,0.5134502923976608,0.49155844155844153
6,ethos-religion_16_13,0.4,8,0.4385964912280702,0.48275862068965514
7,ethos-religion_16_13,0.3,8,0.3333333333333333,0.49155844155844153
8,ethos-religion_16_13,0.2,8,0.6190476190476191,0.43137254901960786
9,ethos-religion_16_13_best,0.2,8,0.6190476190476191,0.43137254901960786
10,ethos-religion_16_21,0.5,8,0.4554554554554554,0.5316985645933014
11,ethos-religion_16_21,0.4,8,0.3333333333333333,0.5396825396825398
12,ethos-religion_16_21,0.3,8,0.3333333333333333,0.49155844155844153
13,ethos-religion_16_21,0.2,8,0.3992490613266583,0.49155844155844153
14,ethos-religion_16_21_best,0.5,8,0.4554554554554554,0.5316985645933014
15,ethos-religion_16_42,0.5,8,0.3333333333333333,0.5316985645933014
16,ethos-religion_16_42,0.4,8,0.3333333333333333,0.41379310344827586
17,ethos-religion_16_42,0.3,8,0.4231177094379639,0.48552754435107376
18,ethos-religion_16_42,0.2,8,0.4589371980676329,0.556241610738255
19,ethos-religion_16_42_best,0.2,8,0.4589371980676329,0.556241610738255
20,ethos-religion_16_87,0.5,8,0.3816425120772947,0.5396825396825398
21,ethos-religion_16_87,0.4,8,0.5134502923976608,0.4387096774193549
22,ethos-religion_16_87,0.3,8,0.3333333333333333,0.49155844155844153
23,ethos-religion_16_87,0.2,8,0.3333333333333333,0.49155844155844153
24,ethos-religion_16_87_best,0.4,8,0.5134502923976608,0.4387096774193549
