,prefix,lr,bsz,dev_performance,test_performance
0,tab_fact_16_100,0.5,8,0.3333333333333333,0.2203029034059185
1,tab_fact_16_100,0.4,8,0.3333333333333333,0.33047210300429186
2,tab_fact_16_100,0.3,8,0.3333333333333333,0.33047210300429186
3,tab_fact_16_100,0.2,8,0.17647058823529413,0.0007459778696181709
4,tab_fact_16_100_best,0.5,8,0.3333333333333333,0.2203029034059185
5,tab_fact_16_13,0.5,8,0.3333333333333333,0.33047210300429186
6,tab_fact_16_13,0.4,8,0.3333333333333333,0.14460574067964366
7,tab_fact_16_13,0.3,8,0.3333333333333333,0.33047210300429186
8,tab_fact_16_13,0.2,8,0.3333333333333333,0.05081985714976703
9,tab_fact_16_13_best,0.5,8,0.3333333333333333,0.33047210300429186
10,tab_fact_16_21,0.5,8,0.3333333333333333,0.21993415983750086
11,tab_fact_16_21,0.4,8,0.3333333333333333,0.33047210300429186
12,tab_fact_16_21,0.3,8,0.3333333333333333,0.22030260195801266
13,tab_fact_16_21,0.2,8,0.3333333333333333,0.33047210300429186
14,tab_fact_16_21_best,0.5,8,0.3333333333333333,0.21993415983750086
15,tab_fact_16_42,0.5,8,0.3333333333333333,0.33047210300429186
16,tab_fact_16_42,0.4,8,0.3333333333333333,0.05879632603250048
17,tab_fact_16_42,0.3,8,0.3333333333333333,0.33047210300429186
18,tab_fact_16_42,0.2,8,0.3333333333333333,0.33047210300429186
19,tab_fact_16_42_best,0.5,8,0.3333333333333333,0.33047210300429186
20,tab_fact_16_87,0.5,8,0.3333333333333333,0.22255948356124008
21,tab_fact_16_87,0.4,8,0.3333333333333333,0.33047210300429186
22,tab_fact_16_87,0.3,8,0.3333333333333333,0.3305736030445499
23,tab_fact_16_87,0.2,8,0.3333333333333333,0.33047210300429186
24,tab_fact_16_87_best,0.5,8,0.3333333333333333,0.22255948356124008
