,prefix,lr,bsz,dev_performance,test_performance
0,wiki_qa_16_100,0.5,8,0.3992490613266583,0.4862781954887218
1,wiki_qa_16_100,0.4,8,0.3333333333333333,0.48685692827638
2,wiki_qa_16_100,0.3,8,0.3333333333333333,0.48685692827638
3,wiki_qa_16_100,0.2,8,0.3333333333333333,0.48685692827638
4,wiki_qa_16_100_best,0.5,8,0.3992490613266583,0.4862781954887218
5,wiki_qa_16_13,0.5,8,0.49090909090909085,0.4826802952867689
6,wiki_qa_16_13,0.4,8,0.3992490613266583,0.4867605633802817
7,wiki_qa_16_13,0.3,8,0.3992490613266583,0.48685692827638
8,wiki_qa_16_13,0.2,8,0.3333333333333333,0.48685692827638
9,wiki_qa_16_13_best,0.5,8,0.49090909090909085,0.4826802952867689
10,wiki_qa_16_21,0.5,8,0.36374269005847953,0.4863747415899267
11,wiki_qa_16_21,0.4,8,0.3992490613266583,0.4980818675264253
12,wiki_qa_16_21,0.3,8,0.6190476190476191,0.48685692827638
13,wiki_qa_16_21,0.2,8,0.3333333333333333,0.48685692827638
14,wiki_qa_16_21_best,0.3,8,0.6190476190476191,0.48685692827638
15,wiki_qa_16_42,0.5,8,0.4589371980676329,0.4867605633802817
16,wiki_qa_16_42,0.4,8,0.3333333333333333,0.48685692827638
17,wiki_qa_16_42,0.3,8,0.3992490613266583,0.48685692827638
18,wiki_qa_16_42,0.2,8,0.3333333333333333,0.48685692827638
19,wiki_qa_16_42_best,0.5,8,0.4589371980676329,0.4867605633802817
20,wiki_qa_16_87,0.5,8,0.5588547189819725,0.5174036334174692
21,wiki_qa_16_87,0.4,8,0.3992490613266583,0.4834624834624835
22,wiki_qa_16_87,0.3,8,0.3333333333333333,0.5068482557140402
23,wiki_qa_16_87,0.2,8,0.3992490613266583,0.49374859594660453
24,wiki_qa_16_87_best,0.5,8,0.5588547189819725,0.5174036334174692
