,prefix,lr,bsz,dev_performance,test_performance
0,yelp_polarity_16_100,0.5,8,0.6536796536796536,0.38710706315636134
1,yelp_polarity_16_100,0.4,8,0.5465587044534412,0.42701570680628276
2,yelp_polarity_16_100,0.3,8,0.625,0.34659152373838675
3,yelp_polarity_16_100,0.2,8,0.6235294117647059,0.3358894029361407
4,yelp_polarity_16_100_best,0.5,8,0.6536796536796536,0.38710706315636134
5,yelp_polarity_16_13,0.5,8,0.6761133603238867,0.3529825903373261
6,yelp_polarity_16_13,0.4,8,0.6101882613510521,0.3442570538581873
7,yelp_polarity_16_13,0.3,8,0.5588547189819725,0.3331578485566377
8,yelp_polarity_16_13,0.2,8,0.5733333333333335,0.3970036601362391
9,yelp_polarity_16_13_best,0.5,8,0.6761133603238867,0.3529825903373261
10,yelp_polarity_16_21,0.5,8,0.5588547189819725,0.3768698623026322
11,yelp_polarity_16_21,0.4,8,0.5151515151515151,0.4183831328800942
12,yelp_polarity_16_21,0.3,8,0.6559139784946237,0.35017370638889844
13,yelp_polarity_16_21,0.2,8,0.5555555555555556,0.43494775456079315
14,yelp_polarity_16_21_best,0.3,8,0.6559139784946237,0.35017370638889844
15,yelp_polarity_16_42,0.5,8,0.4920634920634921,0.4348887393868289
16,yelp_polarity_16_42,0.4,8,0.6476476476476476,0.42009119509303294
17,yelp_polarity_16_42,0.3,8,0.6267232237539766,0.4716507736182737
18,yelp_polarity_16_42,0.2,8,0.5151515151515151,0.3365287120227857
19,yelp_polarity_16_42_best,0.4,8,0.6476476476476476,0.42009119509303294
20,yelp_polarity_16_87,0.5,8,0.5588547189819725,0.3621780423810881
21,yelp_polarity_16_87,0.4,8,0.716256157635468,0.4807009462390357
22,yelp_polarity_16_87,0.3,8,0.464039408866995,0.3368781833359157
23,yelp_polarity_16_87,0.2,8,0.6476476476476476,0.4235536196693173
24,yelp_polarity_16_87_best,0.4,8,0.716256157635468,0.4807009462390357
