,prefix,lr,bsz,dev_performance,test_performance
0,tab_fact_16_100,0.5,8,0.5835835835835835,0.4941446821837675
1,tab_fact_16_100,0.4,8,0.5151515151515151,0.49260202112181173
2,tab_fact_16_100,0.3,8,0.5270935960591133,0.16239775092046413
3,tab_fact_16_100,0.2,8,0.5465587044534412,0.44400699828105966
4,tab_fact_16_100_best,0.5,8,0.5835835835835835,0.4941446821837675
5,tab_fact_16_13,0.5,8,0.625,0.4993272918351738
6,tab_fact_16_13,0.4,8,0.5195195195195195,0.5008982253236719
7,tab_fact_16_13,0.3,8,0.5555555555555556,0.4977050530245596
8,tab_fact_16_13,0.2,8,0.5333333333333333,0.48865604346219604
9,tab_fact_16_13_best,0.5,8,0.625,0.4993272918351738
10,tab_fact_16_21,0.5,8,0.4920634920634921,0.0822170916471135
11,tab_fact_16_21,0.4,8,0.6113360323886641,0.10911270452799501
12,tab_fact_16_21,0.3,8,0.6476476476476476,0.4494537565974468
13,tab_fact_16_21,0.2,8,0.5151515151515151,0.12481372838906632
14,tab_fact_16_21_best,0.3,8,0.6476476476476476,0.4494537565974468
15,tab_fact_16_42,0.5,8,0.625,0.33343282180411987
16,tab_fact_16_42,0.4,8,0.6113360323886641,0.39524841552728124
17,tab_fact_16_42,0.3,8,0.6235294117647059,0.33550889142630913
18,tab_fact_16_42,0.2,8,0.6000000000000001,0.4835879548636174
19,tab_fact_16_42_best,0.5,8,0.625,0.33343282180411987
20,tab_fact_16_87,0.5,8,0.5555555555555556,0.332569502082299
21,tab_fact_16_87,0.4,8,0.5733333333333335,0.14548802726919552
22,tab_fact_16_87,0.3,8,0.6113360323886641,0.4330305469318922
23,tab_fact_16_87,0.2,8,0.5933528836754642,0.324412248479312
24,tab_fact_16_87_best,0.3,8,0.6113360323886641,0.4330305469318922
