,prefix,lr,bsz,dev_performance,test_performance
0,amazon_polarity_16_100,0.5,8,0.906158357771261,0.8452280155500322
1,amazon_polarity_16_100,0.4,8,1.0,0.9369040310311985
2,amazon_polarity_16_100,0.3,8,0.8435972629521017,0.5519549022243402
3,amazon_polarity_16_100,0.2,8,0.9687194525904204,0.8973095091394537
4,amazon_polarity_16_100_best,0.4,8,1.0,0.9369040310311985
5,amazon_polarity_16_13,0.5,8,0.9687194525904204,0.9309800532353849
6,amazon_polarity_16_13,0.4,8,0.9687194525904204,0.6103015279963585
7,amazon_polarity_16_13,0.3,8,0.9372549019607843,0.8459500878284564
8,amazon_polarity_16_13,0.2,8,0.8423645320197044,0.4173428770004243
9,amazon_polarity_16_13_best,0.5,8,0.9687194525904204,0.9309800532353849
10,amazon_polarity_16_21,0.5,8,0.9687194525904204,0.9329806314024753
11,amazon_polarity_16_21,0.4,8,0.9687194525904204,0.9228146780419788
12,amazon_polarity_16_21,0.3,8,0.8423645320197044,0.390383360873482
13,amazon_polarity_16_21,0.2,8,0.8095238095238095,0.6016756246985688
14,amazon_polarity_16_21_best,0.5,8,0.9687194525904204,0.9329806314024753
15,amazon_polarity_16_42,0.5,8,0.7490196078431373,0.5699724782386073
16,amazon_polarity_16_42,0.4,8,0.9687194525904204,0.9079056954321225
17,amazon_polarity_16_42,0.3,8,0.9372549019607843,0.5994826906202515
18,amazon_polarity_16_42,0.2,8,0.7117117117117117,0.5474134478283856
19,amazon_polarity_16_42_best,0.4,8,0.9687194525904204,0.9079056954321225
20,amazon_polarity_16_87,0.5,8,0.9687194525904204,0.9409687724806421
21,amazon_polarity_16_87,0.4,8,0.9687194525904204,0.9309944105472543
22,amazon_polarity_16_87,0.3,8,0.8745098039215686,0.7068662982338182
23,amazon_polarity_16_87,0.2,8,0.9375,0.6475386085775696
24,amazon_polarity_16_87_best,0.5,8,0.9687194525904204,0.9409687724806421
