,prefix,lr,bsz,dev_performance,test_performance
0,anli_16_100,0.5,8,0.4826072272880783,0.18165608744421996
1,anli_16_100,0.4,8,0.4007013658176448,0.19340817384554432
2,anli_16_100,0.3,8,0.38888888888888884,0.1581528208730949
3,anli_16_100,0.2,8,0.45198345198345197,0.3451041286954692
4,anli_16_100_best,0.5,8,0.4826072272880783,0.18165608744421996
5,anli_16_13,0.5,8,0.5428366174055829,0.15694937591224198
6,anli_16_13,0.4,8,0.4366479550922213,0.3094565166948185
7,anli_16_13,0.3,8,0.43455404080905286,0.1314675473379623
8,anli_16_13,0.2,8,0.5215148835838491,0.13060357986265847
9,anli_16_13_best,0.5,8,0.5428366174055829,0.15694937591224198
10,anli_16_21,0.5,8,0.37698827353999764,0.11230826618773374
11,anli_16_21,0.4,8,0.41414141414141414,0.1550608768696171
12,anli_16_21,0.3,8,0.3871541501976285,0.22243465722823483
13,anli_16_21,0.2,8,0.38921957671957674,0.07556534918673191
14,anli_16_21_best,0.4,8,0.41414141414141414,0.1550608768696171
15,anli_16_42,0.5,8,0.3812160062160062,0.2618415404506634
16,anli_16_42,0.4,8,0.39281705948372614,0.11135798638992303
17,anli_16_42,0.3,8,0.4292223257740499,0.1748942552073995
18,anli_16_42,0.2,8,0.4146422284353319,0.1275508388324653
19,anli_16_42_best,0.3,8,0.4292223257740499,0.1748942552073995
20,anli_16_87,0.5,8,0.4166666666666667,0.25522589221485203
21,anli_16_87,0.4,8,0.3651695526695527,0.16113646772050147
22,anli_16_87,0.3,8,0.46191513642494036,0.1511152212304902
23,anli_16_87,0.2,8,0.41750841750841744,0.24148970769268507
24,anli_16_87_best,0.3,8,0.46191513642494036,0.1511152212304902
