,prefix,lr,bsz,dev_performance,test_performance
0,dbpedia_14_16_100,0.5,8,0.9776611157659545,0.6179748347940893
1,dbpedia_14_16_100,0.4,8,0.9778741995331856,0.8022315978258794
2,dbpedia_14_16_100,0.3,8,0.977757789332742,0.6453257271512685
3,dbpedia_14_16_100,0.2,8,0.9733197897927498,0.46358778376677495
4,dbpedia_14_16_100_best,0.4,8,0.9778741995331856,0.8022315978258794
5,dbpedia_14_16_13,0.5,8,0.9556450806128903,0.5204697133545744
6,dbpedia_14_16_13,0.4,8,0.9776348295916607,0.678846778018517
7,dbpedia_14_16_13,0.3,8,0.8973182925713513,0.6723717480291225
8,dbpedia_14_16_13,0.2,8,0.9512607706156094,0.6715016949769232
9,dbpedia_14_16_13_best,0.4,8,0.9776348295916607,0.678846778018517
10,dbpedia_14_16_21,0.5,8,0.9040029325513196,0.6395087610497067
11,dbpedia_14_16_21,0.4,8,0.9822527251369758,0.7596202450701097
12,dbpedia_14_16_21,0.3,8,0.9686835658016874,0.7133914296720016
13,dbpedia_14_16_21,0.2,8,0.9686835658016874,0.5660113372768006
14,dbpedia_14_16_21_best,0.4,8,0.9822527251369758,0.7596202450701097
15,dbpedia_14_16_42,0.5,8,0.9910627007401202,0.7172285669332001
16,dbpedia_14_16_42,0.4,8,0.9186705767350927,0.5387860375256505
17,dbpedia_14_16_42,0.3,8,0.9777884394226898,0.5644155971505227
18,dbpedia_14_16_42,0.2,8,0.9685885351207931,0.49728121824187793
19,dbpedia_14_16_42_best,0.5,8,0.9910627007401202,0.7172285669332001
20,dbpedia_14_16_87,0.5,8,0.9865940511101802,0.7188728633188853
21,dbpedia_14_16_87,0.4,8,0.9865677649358864,0.6414684076304007
22,dbpedia_14_16_87,0.3,8,0.99553135037006,0.758127415810192
23,dbpedia_14_16_87,0.2,8,0.9776348295916607,0.5427133112146977
24,dbpedia_14_16_87_best,0.3,8,0.99553135037006,0.758127415810192
