,prefix,lr,bsz,dev_performance,test_performance
0,emo_16_100,0.5,8,0.5719835907335907,0.3738377087089034
1,emo_16_100,0.4,8,0.6448168948168947,0.25652236148523655
2,emo_16_100,0.3,8,0.5957375957375957,0.34925842929695194
3,emo_16_100,0.2,8,0.7354312354312355,0.29991250983805845
4,emo_16_100_best,0.2,8,0.7354312354312355,0.29991250983805845
5,emo_16_13,0.5,8,0.7841178307280995,0.3717558908190162
6,emo_16_13,0.4,8,0.736065286065286,0.2798078078146522
7,emo_16_13,0.3,8,0.7977456011730205,0.3830365243290102
8,emo_16_13,0.2,8,0.747906624644667,0.3024435910668613
9,emo_16_13_best,0.3,8,0.7977456011730205,0.3830365243290102
10,emo_16_21,0.5,8,0.8270833333333333,0.29661629093019176
11,emo_16_21,0.4,8,0.7838872504537204,0.3867252946974218
12,emo_16_21,0.3,8,0.7201213818860878,0.34263654373760705
13,emo_16_21,0.2,8,0.7345503958407184,0.33480295501953383
14,emo_16_21_best,0.5,8,0.8270833333333333,0.29661629093019176
15,emo_16_42,0.5,8,0.7651745495495496,0.1322237447216403
16,emo_16_42,0.4,8,0.778108563762214,0.3962588236833296
17,emo_16_42,0.3,8,0.6693986193986193,0.3938637282129449
18,emo_16_42,0.2,8,0.665319055944056,0.2809425141231096
19,emo_16_42_best,0.4,8,0.778108563762214,0.3962588236833296
20,emo_16_87,0.5,8,0.7418677148278667,0.40560803417407
21,emo_16_87,0.4,8,0.7634622082897945,0.43905713558809206
22,emo_16_87,0.3,8,0.7313025210084033,0.3942515401973372
23,emo_16_87,0.2,8,0.7159493712192595,0.37698912519898176
24,emo_16_87_best,0.4,8,0.7634622082897945,0.43905713558809206
