,prefix,lr,bsz,dev_performance,test_performance
0,ethos-race_16_100,0.5,8,0.9375,0.43866517524235643
1,ethos-race_16_100,0.4,8,0.9687194525904204,0.7286902286902287
2,ethos-race_16_100,0.3,8,1.0,0.8112053659498915
3,ethos-race_16_100,0.2,8,0.9687194525904204,0.6052475833497731
4,ethos-race_16_100_best,0.3,8,1.0,0.8112053659498915
5,ethos-race_16_13,0.5,8,0.716256157635468,0.3284067085953879
6,ethos-race_16_13,0.4,8,0.8095238095238095,0.7340353260869565
7,ethos-race_16_13,0.3,8,0.873015873015873,0.5684523809523809
8,ethos-race_16_13,0.2,8,0.906158357771261,0.6164897959183674
9,ethos-race_16_13_best,0.2,8,0.906158357771261,0.6164897959183674
10,ethos-race_16_21,0.5,8,0.8745098039215686,0.663225806451613
11,ethos-race_16_21,0.4,8,0.8435972629521017,0.6647679678338079
12,ethos-race_16_21,0.3,8,0.8117647058823529,0.6164897959183674
13,ethos-race_16_21,0.2,8,0.875,0.7262237762237762
14,ethos-race_16_21_best,0.2,8,0.875,0.7262237762237762
15,ethos-race_16_42,0.5,8,0.5901477832512315,0.4607136873848216
16,ethos-race_16_42,0.4,8,0.8398398398398398,0.5404929577464789
17,ethos-race_16_42,0.3,8,0.6945917285259808,0.43611111111111117
18,ethos-race_16_42,0.2,8,0.9372549019607843,0.8390544707091471
19,ethos-race_16_42_best,0.2,8,0.9372549019607843,0.8390544707091471
20,ethos-race_16_87,0.5,8,0.7046153846153846,0.748917748917749
21,ethos-race_16_87,0.4,8,0.6761133603238867,0.8248792270531402
22,ethos-race_16_87,0.3,8,0.6389743589743591,0.8388888888888889
23,ethos-race_16_87,0.2,8,0.6389743589743591,0.853781512605042
24,ethos-race_16_87_best,0.5,8,0.7046153846153846,0.748917748917749
