,prefix,lr,bsz,dev_performance,test_performance
0,ethos-religion_16_100,0.5,8,0.9375,0.9326625386996904
1,ethos-religion_16_100,0.4,8,0.8423645320197044,0.9026119402985076
2,ethos-religion_16_100,0.3,8,0.8423645320197044,0.9326625386996904
3,ethos-religion_16_100,0.2,8,0.8423645320197044,0.9173789173789174
4,ethos-religion_16_100_best,0.5,8,0.9375,0.9326625386996904
5,ethos-religion_16_13,0.5,8,0.8745098039215686,0.8989938080495357
6,ethos-religion_16_13,0.4,8,0.9687194525904204,0.9521364386576197
7,ethos-religion_16_13,0.3,8,0.9687194525904204,0.9350746268656716
8,ethos-religion_16_13,0.2,8,0.9054187192118226,0.9058441558441558
9,ethos-religion_16_13_best,0.4,8,0.9687194525904204,0.9521364386576197
10,ethos-religion_16_21,0.5,8,0.9372549019607843,0.8918870939108823
11,ethos-religion_16_21,0.4,8,0.9375,0.7919655667144907
12,ethos-religion_16_21,0.3,8,0.9372549019607843,0.736682808716707
13,ethos-religion_16_21,0.2,8,0.9375,0.8609976921711344
14,ethos-religion_16_21_best,0.4,8,0.9375,0.7919655667144907
15,ethos-religion_16_42,0.5,8,0.8398398398398398,0.9202273977626995
16,ethos-religion_16_42,0.4,8,0.8435972629521017,0.9173789173789174
17,ethos-religion_16_42,0.3,8,0.8745098039215686,0.9173789173789174
18,ethos-religion_16_42,0.2,8,0.9054187192118226,0.9026119402985076
19,ethos-religion_16_42_best,0.2,8,0.9054187192118226,0.9026119402985076
20,ethos-religion_16_87,0.5,8,0.9375,0.9202273977626995
21,ethos-religion_16_87,0.4,8,0.9687194525904204,0.8918870939108823
22,ethos-religion_16_87,0.3,8,0.9687194525904204,0.9058441558441558
23,ethos-religion_16_87,0.2,8,0.9687194525904204,0.8688222482827945
24,ethos-religion_16_87_best,0.4,8,0.9687194525904204,0.8918870939108823
