,prefix,lr,bsz,dev_performance,test_performance
0,wiki_qa_16_100,0.5,8,0.6190476190476191,0.4561564038675771
1,wiki_qa_16_100,0.4,8,0.5270935960591133,0.43656156786606826
2,wiki_qa_16_100,0.3,8,0.5607843137254902,0.47680473096351844
3,wiki_qa_16_100,0.2,8,0.6190476190476191,0.3991692698524185
4,wiki_qa_16_100_best,0.5,8,0.6190476190476191,0.4561564038675771
5,wiki_qa_16_13,0.5,8,0.5270935960591133,0.4400058355776812
6,wiki_qa_16_13,0.4,8,0.5270935960591133,0.38633874856926764
7,wiki_qa_16_13,0.3,8,0.5270935960591133,0.38626913450594796
8,wiki_qa_16_13,0.2,8,0.4920634920634921,0.41552609067579127
9,wiki_qa_16_13_best,0.5,8,0.5270935960591133,0.4400058355776812
10,wiki_qa_16_21,0.5,8,0.6825396825396826,0.21936344228472635
11,wiki_qa_16_21,0.4,8,0.7408906882591093,0.2106407724099423
12,wiki_qa_16_21,0.3,8,0.746031746031746,0.3710301021817178
13,wiki_qa_16_21,0.2,8,0.7184750733137829,0.3642796352859881
14,wiki_qa_16_21_best,0.3,8,0.746031746031746,0.3710301021817178
15,wiki_qa_16_42,0.5,8,0.5307917888563051,0.36165316185023166
16,wiki_qa_16_42,0.4,8,0.6235294117647059,0.24433420606538384
17,wiki_qa_16_42,0.3,8,0.5333333333333333,0.4405021684233641
18,wiki_qa_16_42,0.2,8,0.625,0.5166981825822039
19,wiki_qa_16_42_best,0.2,8,0.625,0.5166981825822039
20,wiki_qa_16_87,0.5,8,0.5607843137254902,0.21736805810356982
21,wiki_qa_16_87,0.4,8,0.5607843137254902,0.32974789516591907
22,wiki_qa_16_87,0.3,8,0.5555555555555556,0.36073199535448175
23,wiki_qa_16_87,0.2,8,0.5555555555555556,0.37380518351640757
24,wiki_qa_16_87_best,0.5,8,0.5607843137254902,0.21736805810356982
