,prefix,lr,bsz,dev_performance,test_performance
0,yelp_polarity_16_100,0.5,8,0.9372549019607843,0.15194117302983617
1,yelp_polarity_16_100,0.4,8,0.8125,0.12047421379304005
2,yelp_polarity_16_100,0.3,8,0.9372549019607843,0.17675155889134914
3,yelp_polarity_16_100,0.2,8,1.0,0.9474426737515412
4,yelp_polarity_16_100_best,0.2,8,1.0,0.9474426737515412
5,yelp_polarity_16_13,0.5,8,0.875,0.0532033918334677
6,yelp_polarity_16_13,0.4,8,0.716256157635468,0.501534503571436
7,yelp_polarity_16_13,0.3,8,0.6862745098039216,0.5085732440034013
8,yelp_polarity_16_13,0.2,8,0.6000000000000001,0.5034027623234552
9,yelp_polarity_16_13_best,0.5,8,0.875,0.0532033918334677
10,yelp_polarity_16_21,0.5,8,0.906158357771261,0.15371739930887873
11,yelp_polarity_16_21,0.4,8,1.0,0.9353062971005082
12,yelp_polarity_16_21,0.3,8,0.873015873015873,0.6450899457856727
13,yelp_polarity_16_21,0.2,8,0.9372549019607843,0.8861263286042047
14,yelp_polarity_16_21_best,0.4,8,1.0,0.9353062971005082
15,yelp_polarity_16_42,0.5,8,0.7810361681329424,0.4021021375411992
16,yelp_polarity_16_42,0.4,8,0.9687194525904204,0.9083549203301147
17,yelp_polarity_16_42,0.3,8,0.9054187192118226,0.6118255840288251
18,yelp_polarity_16_42,0.2,8,0.6190476190476191,0.5560987489361389
19,yelp_polarity_16_42_best,0.4,8,0.9687194525904204,0.9083549203301147
20,yelp_polarity_16_87,0.5,8,0.8125,0.7969732588948117
21,yelp_polarity_16_87,0.4,8,1.0,0.9519269353190779
22,yelp_polarity_16_87,0.3,8,0.8435972629521017,0.6690117712530292
23,yelp_polarity_16_87,0.2,8,0.906158357771261,0.7115614122309933
24,yelp_polarity_16_87_best,0.4,8,1.0,0.9519269353190779
