,prefix,lr,bsz,dev_performance,test_performance
0,emo_128_100,0.5,8,0.8270866611107254,0.48687883922505
1,emo_128_100,0.4,8,0.8325607804608723,0.5335784364578255
2,emo_128_100,0.3,8,0.8055356711488827,0.49909718174284573
3,emo_128_100,0.2,8,0.7987671297351605,0.49971600104365393
4,emo_128_100_best,0.4,8,0.8325607804608723,0.5335784364578255
5,emo_128_13,0.5,8,0.821172019062518,0.5442300052638367
6,emo_128_13,0.4,8,0.8142388591800357,0.4986858520137063
7,emo_128_13,0.3,8,0.8113181929492431,0.4928154338794287
8,emo_128_13,0.2,8,0.7839177191344374,0.44902904431524604
9,emo_128_13_best,0.5,8,0.821172019062518,0.5442300052638367
10,emo_128_21,0.5,8,0.8032737109884707,0.4544901318276926
11,emo_128_21,0.4,8,0.8100253000203617,0.5169874980298335
12,emo_128_21,0.3,8,0.8075076053889613,0.47988109394174167
13,emo_128_21,0.2,8,0.7192529935677173,0.42845449113927303
14,emo_128_21_best,0.4,8,0.8100253000203617,0.5169874980298335
15,emo_128_42,0.5,8,0.8667985720738566,0.4195654238555721
16,emo_128_42,0.4,8,0.8575238373550055,0.39305252236633054
17,emo_128_42,0.3,8,0.8579151714118491,0.4284135839111974
18,emo_128_42,0.2,8,0.8354374983194859,0.3397395998694044
19,emo_128_42_best,0.5,8,0.8667985720738566,0.4195654238555721
20,emo_128_87,0.5,8,0.8444821292352191,0.5694748524562181
21,emo_128_87,0.4,8,0.8328002445706215,0.43321185700660214
22,emo_128_87,0.3,8,0.8331828861642365,0.4614235811638595
23,emo_128_87,0.2,8,0.7997874677152422,0.47685515975682646
24,emo_128_87_best,0.5,8,0.8444821292352191,0.5694748524562181
