,prefix,lr,bsz,dev_performance,test_performance
0,ethos-religion_128_100,0.5,8,1.0,0.8883183568677793
1,ethos-religion_128_100,0.4,8,1.0,0.8688222482827945
2,ethos-religion_128_100,0.3,8,1.0,0.8651162790697674
3,ethos-religion_128_100,0.2,8,1.0,0.8651162790697674
4,ethos-religion_128_100_best,0.5,8,1.0,0.8883183568677793
5,ethos-religion_128_13,0.5,8,1.0,0.9485105543499704
6,ethos-religion_128_13,0.4,8,1.0,0.8783216783216783
7,ethos-religion_128_13,0.3,8,1.0,0.9173789173789174
8,ethos-religion_128_13,0.2,8,1.0,0.8197034911525586
9,ethos-religion_128_13_best,0.5,8,1.0,0.9485105543499704
10,ethos-religion_128_21,0.5,8,1.0,0.9202273977626995
11,ethos-religion_128_21,0.4,8,1.0,0.8883183568677793
12,ethos-religion_128_21,0.3,8,1.0,0.9026119402985076
13,ethos-religion_128_21,0.2,8,1.0,0.8609976921711344
14,ethos-religion_128_21_best,0.5,8,1.0,0.9202273977626995
15,ethos-religion_128_42,0.5,8,1.0,0.9350746268656716
16,ethos-religion_128_42,0.4,8,1.0,0.9202273977626995
17,ethos-religion_128_42,0.3,8,1.0,0.9372294372294372
18,ethos-religion_128_42,0.2,8,1.0,0.8883183568677793
19,ethos-religion_128_42_best,0.5,8,1.0,0.9350746268656716
20,ethos-religion_128_87,0.5,8,1.0,0.8843304843304843
21,ethos-religion_128_87,0.4,8,1.0,0.8455316630499112
22,ethos-religion_128_87,0.3,8,1.0,0.8390544707091471
23,ethos-religion_128_87,0.2,8,1.0,0.8989938080495357
24,ethos-religion_128_87_best,0.5,8,1.0,0.8843304843304843
