,prefix,lr,bsz,dev_performance,test_performance
0,wiki_qa_128_100,0.5,8,0.6457215717373388,0.42870980541589654
1,wiki_qa_128_100,0.4,8,0.7538724495246234,0.4135828741326716
2,wiki_qa_128_100,0.3,8,0.7022344658708295,0.376224920702252
3,wiki_qa_128_100,0.2,8,0.6399103485586212,0.4532536165995545
4,wiki_qa_128_100_best,0.4,8,0.7538724495246234,0.4135828741326716
5,wiki_qa_128_13,0.5,8,0.5398724940471618,0.5283533927868802
6,wiki_qa_128_13,0.4,8,0.7539024948500801,0.4143394829599543
7,wiki_qa_128_13,0.3,8,0.7382772564278629,0.39023185889292483
8,wiki_qa_128_13,0.2,8,0.6930455635491606,0.40885787233702975
9,wiki_qa_128_13_best,0.4,8,0.7539024948500801,0.4143394829599543
10,wiki_qa_128_21,0.5,8,0.6678420417945078,0.47545248055182476
11,wiki_qa_128_21,0.4,8,0.640625,0.4432425923653994
12,wiki_qa_128_21,0.3,8,0.7070267795834286,0.4579403160712362
13,wiki_qa_128_21,0.2,8,0.611948982560365,0.4933592387357249
14,wiki_qa_128_21_best,0.3,8,0.7070267795834286,0.4579403160712362
15,wiki_qa_128_42,0.5,8,0.7132642884541619,0.489449626786197
16,wiki_qa_128_42,0.4,8,0.6814501881864967,0.4976971439489751
17,wiki_qa_128_42,0.3,8,0.6422503807684457,0.5105793867261758
18,wiki_qa_128_42,0.2,8,0.6756575231640487,0.3369766642772087
19,wiki_qa_128_42_best,0.5,8,0.7132642884541619,0.489449626786197
20,wiki_qa_128_87,0.5,8,0.643306640535285,0.3060581070510349
21,wiki_qa_128_87,0.4,8,0.642857142857143,0.2334146488042456
22,wiki_qa_128_87,0.3,8,0.5858945325137497,0.47799237319946586
23,wiki_qa_128_87,0.2,8,0.632453567937439,0.42218093328554146
24,wiki_qa_128_87_best,0.5,8,0.643306640535285,0.3060581070510349
