,prefix,lr,bsz,dev_performance,test_performance
0,amazon_polarity_32_100,0.5,8,0.9843711843711844,0.9319213010239837
1,amazon_polarity_32_100,0.4,8,0.9843711843711844,0.943967725409836
2,amazon_polarity_32_100,0.3,8,0.9843711843711844,0.9349655968007076
3,amazon_polarity_32_100,0.2,8,0.8899533284205354,0.785438347403034
4,amazon_polarity_32_100_best,0.5,8,0.9843711843711844,0.9319213010239837
5,amazon_polarity_32_13,0.5,8,0.9843711843711844,0.9419405471202511
6,amazon_polarity_32_13,0.4,8,0.96875,0.9419405471202511
7,amazon_polarity_32_13,0.3,8,0.96875,0.9348905510162584
8,amazon_polarity_32_13,0.2,8,0.9531135531135531,0.9509975988823451
9,amazon_polarity_32_13_best,0.5,8,0.9843711843711844,0.9419405471202511
10,amazon_polarity_32_21,0.5,8,0.9843711843711844,0.9208397003932964
11,amazon_polarity_32_21,0.4,8,0.9843711843711844,0.936998424960624
12,amazon_polarity_32_21,0.3,8,0.9843711843711844,0.9329178243348101
13,amazon_polarity_32_21,0.2,8,0.9530217763640813,0.9328979377633381
14,amazon_polarity_32_21_best,0.5,8,0.9843711843711844,0.9208397003932964
15,amazon_polarity_32_42,0.5,8,0.9218559218559218,0.9198448195706889
16,amazon_polarity_32_42,0.4,8,0.9375,0.9138013984219643
17,amazon_polarity_32_42,0.3,8,0.90625,0.8770478586171311
18,amazon_polarity_32_42,0.2,8,0.9218559218559218,0.9269204163333871
19,amazon_polarity_32_42_best,0.4,8,0.9375,0.9138013984219643
20,amazon_polarity_32_87,0.5,8,0.9843711843711844,0.9259810511490942
21,amazon_polarity_32_87,0.4,8,0.96875,0.9208397003932964
22,amazon_polarity_32_87,0.3,8,1.0,0.93999975999904
23,amazon_polarity_32_87,0.2,8,0.9375,0.9179881902994032
24,amazon_polarity_32_87_best,0.3,8,1.0,0.93999975999904
