,prefix,lr,bsz,dev_performance,test_performance
0,ethos-race_32_100,0.5,8,0.9321266968325792,0.7992188886916386
1,ethos-race_32_100,0.4,8,0.9330357142857143,0.5381558028616852
2,ethos-race_32_100,0.3,8,0.881723458180794,0.8376865671641791
3,ethos-race_32_100,0.2,8,0.8628571428571428,0.874820143884892
4,ethos-race_32_100_best,0.4,8,0.9330357142857143,0.5381558028616852
5,ethos-race_32_13,0.5,8,0.9496503496503497,0.856409315972859
6,ethos-race_32_13,0.4,8,0.6996662958843158,0.5190149103702463
7,ethos-race_32_13,0.3,8,0.898989898989899,0.831656346749226
8,ethos-race_32_13,0.2,8,0.898989898989899,0.879857960149931
9,ethos-race_32_13_best,0.5,8,0.9496503496503497,0.856409315972859
10,ethos-race_32_21,0.5,8,0.916083916083916,0.8701492537313433
11,ethos-race_32_21,0.4,8,0.916083916083916,0.8317214700193423
12,ethos-race_32_21,0.3,8,0.8833009169213671,0.8512820512820514
13,ethos-race_32_21,0.2,8,0.8331479421579533,0.6852713178294574
14,ethos-race_32_21_best,0.5,8,0.916083916083916,0.8701492537313433
15,ethos-race_32_42,0.5,8,0.916083916083916,0.8430735930735931
16,ethos-race_32_42,0.4,8,0.881723458180794,0.8843304843304842
17,ethos-race_32_42,0.3,8,0.6832453459294249,0.4827586206896552
18,ethos-race_32_42,0.2,8,0.8479301605181638,0.7898550724637681
19,ethos-race_32_42_best,0.5,8,0.916083916083916,0.8430735930735931
20,ethos-race_32_87,0.5,8,0.9166435120866907,0.7992188886916386
21,ethos-race_32_87,0.4,8,0.9166435120866907,0.7751937984496124
22,ethos-race_32_87,0.3,8,0.8830409356725146,0.7474193548387096
23,ethos-race_32_87,0.2,8,0.7179788484136309,0.6756612817326468
24,ethos-race_32_87_best,0.5,8,0.9166435120866907,0.7992188886916386
