,prefix,lr,bsz,dev_performance,test_performance
0,tab_fact_32_100,0.5,8,0.6398336187912894,0.13873770863557108
1,tab_fact_32_100,0.4,8,0.5921568627450979,0.48697196049122665
2,tab_fact_32_100,0.3,8,0.51417004048583,0.10950759334795186
3,tab_fact_32_100,0.2,8,0.5755342667649226,0.20055965509659085
4,tab_fact_32_100_best,0.5,8,0.6398336187912894,0.13873770863557108
5,tab_fact_32_13,0.5,8,0.5873015873015872,0.4913107453734413
6,tab_fact_32_13,0.4,8,0.5238095238095238,0.16608806864469905
7,tab_fact_32_13,0.3,8,0.5755342667649226,0.4962955097490078
8,tab_fact_32_13,0.2,8,0.5238095238095238,0.4994911110055029
9,tab_fact_32_13_best,0.5,8,0.5873015873015872,0.4913107453734413
10,tab_fact_32_21,0.5,8,0.5599694423223835,0.314943169417314
11,tab_fact_32_21,0.4,8,0.5730170496664195,0.08346332713411508
12,tab_fact_32_21,0.3,8,0.5797215655371684,0.16257483338289758
13,tab_fact_32_21,0.2,8,0.5873015873015872,0.030282795694068877
14,tab_fact_32_21_best,0.2,8,0.5873015873015872,0.030282795694068877
15,tab_fact_32_42,0.5,8,0.5294117647058825,0.20024663420690608
16,tab_fact_32_42,0.4,8,0.5925642984466514,0.24933310175510676
17,tab_fact_32_42,0.3,8,0.4832395400048935,0.3192718657163723
18,tab_fact_32_42,0.2,8,0.4796747967479674,0.05103081430802774
19,tab_fact_32_42_best,0.4,8,0.5925642984466514,0.24933310175510676
20,tab_fact_32_87,0.5,8,0.5515515515515517,0.16132133238935845
21,tab_fact_32_87,0.4,8,0.5467643467643467,0.13073406656809936
22,tab_fact_32_87,0.3,8,0.5625,0.15390904089390786
23,tab_fact_32_87,0.2,8,0.5497835497835498,0.23631929328670512
24,tab_fact_32_87_best,0.3,8,0.5625,0.15390904089390786
