,prefix,lr,bsz,dev_performance,test_performance
0,anli_64_100,0.5,8,0.33743099159175066,0.3009075410846302
1,anli_64_100,0.4,8,0.3592779396733376,0.21320899057994938
2,anli_64_100,0.3,8,0.3435459213459653,0.3014438660503332
3,anli_64_100,0.2,8,0.34908428943458686,0.2317850044655773
4,anli_64_100_best,0.4,8,0.3592779396733376,0.21320899057994938
5,anli_64_13,0.5,8,0.35574597224081755,0.2552800613262502
6,anli_64_13,0.4,8,0.49106562703053935,0.3100168067226891
7,anli_64_13,0.3,8,0.40983272133822934,0.29428982632203354
8,anli_64_13,0.2,8,0.3999467151050791,0.27072768545837894
9,anli_64_13_best,0.4,8,0.49106562703053935,0.3100168067226891
10,anli_64_21,0.5,8,0.3497004357298475,0.32099119919736435
11,anli_64_21,0.4,8,0.38386319660682483,0.25991390288718685
12,anli_64_21,0.3,8,0.361429600088623,0.16654163540885222
13,anli_64_21,0.2,8,0.35474378944005114,0.18069297184420016
14,anli_64_21_best,0.4,8,0.38386319660682483,0.25991390288718685
15,anli_64_42,0.5,8,0.3806815378210889,0.2717957633995696
16,anli_64_42,0.4,8,0.34270674138223806,0.2798348830280978
17,anli_64_42,0.3,8,0.3675626021473318,0.20329272591743427
18,anli_64_42,0.2,8,0.34658587493276505,0.17365296308348702
19,anli_64_42_best,0.5,8,0.3806815378210889,0.2717957633995696
20,anli_64_87,0.5,8,0.3322643439900077,0.2511702707015207
21,anli_64_87,0.4,8,0.41081704467222213,0.33651590286846617
22,anli_64_87,0.3,8,0.4129324171541102,0.23480621363534948
23,anli_64_87,0.2,8,0.4315461706281371,0.24944422861089524
24,anli_64_87_best,0.2,8,0.4315461706281371,0.24944422861089524
