,prefix,lr,bsz,dev_performance,test_performance
0,dbpedia_14_64_100,0.5,8,0.7475291903030691,0.421512725959678
1,dbpedia_14_64_100,0.4,8,0.800680062535647,0.45328759414577535
2,dbpedia_14_64_100,0.3,8,0.7963486984803757,0.5172337323208839
3,dbpedia_14_64_100,0.2,8,0.9787614048432317,0.7208407289128334
4,dbpedia_14_64_100_best,0.2,8,0.9787614048432317,0.7208407289128334
5,dbpedia_14_64_13,0.5,8,0.8082657090224722,0.6896765765491113
6,dbpedia_14_64_13,0.4,8,0.8517061084791354,0.6109754715868151
7,dbpedia_14_64_13,0.3,8,0.8622717204074031,0.6533529897099384
8,dbpedia_14_64_13,0.2,8,0.7140668251677933,0.5452558157977221
9,dbpedia_14_64_13_best,0.3,8,0.8622717204074031,0.6533529897099384
10,dbpedia_14_64_21,0.5,8,0.9866057834264615,0.6869476711812184
11,dbpedia_14_64_21,0.4,8,0.759294808847554,0.5751511810101619
12,dbpedia_14_64_21,0.3,8,0.9162419684634205,0.5811174165451173
13,dbpedia_14_64_21,0.2,8,0.9187029504923901,0.5921992083801387
14,dbpedia_14_64_21_best,0.5,8,0.9866057834264615,0.6869476711812184
15,dbpedia_14_64_42,0.5,8,0.9170469462106088,0.6415222693604995
16,dbpedia_14_64_42,0.4,8,0.9820701590680925,0.6545723851735561
17,dbpedia_14_64_42,0.3,8,0.9764123853914685,0.6521459755716185
18,dbpedia_14_64_42,0.2,8,0.8517216451876175,0.5598335962800062
19,dbpedia_14_64_42_best,0.4,8,0.9820701590680925,0.6545723851735561
20,dbpedia_14_64_87,0.5,8,0.9899723199570983,0.8110831619285093
21,dbpedia_14_64_87,0.4,8,0.9171851982740704,0.6365752252924429
22,dbpedia_14_64_87,0.3,8,0.92242289928428,0.5691733905882771
23,dbpedia_14_64_87,0.2,8,0.9785967192856834,0.8058757698326384
24,dbpedia_14_64_87_best,0.5,8,0.9899723199570983,0.8110831619285093
