,prefix,lr,bsz,dev_performance,test_performance
0,superglue-cb_64_100,0.5,8,0.7735849056603774,0.6428571428571429
1,superglue-cb_64_100,0.4,8,0.839622641509434,0.8571428571428571
2,superglue-cb_64_100,0.3,8,0.7830188679245284,0.6428571428571429
3,superglue-cb_64_100,0.2,8,0.7452830188679245,0.48214285714285715
4,superglue-cb_64_100_best,0.4,8,0.839622641509434,0.8571428571428571
5,superglue-cb_64_13,0.5,8,0.7924528301886793,0.7142857142857143
6,superglue-cb_64_13,0.4,8,0.7924528301886793,0.5714285714285714
7,superglue-cb_64_13,0.3,8,0.6981132075471698,0.6428571428571429
8,superglue-cb_64_13,0.2,8,0.7452830188679245,0.5892857142857143
9,superglue-cb_64_13_best,0.5,8,0.7924528301886793,0.7142857142857143
10,superglue-cb_64_21,0.5,8,0.8584905660377359,0.75
11,superglue-cb_64_21,0.4,8,0.7924528301886793,0.5892857142857143
12,superglue-cb_64_21,0.3,8,0.7358490566037735,0.5357142857142857
13,superglue-cb_64_21,0.2,8,0.7924528301886793,0.625
14,superglue-cb_64_21_best,0.5,8,0.8584905660377359,0.75
15,superglue-cb_64_42,0.5,8,0.6509433962264151,0.5
16,superglue-cb_64_42,0.4,8,0.7264150943396226,0.44642857142857145
17,superglue-cb_64_42,0.3,8,0.7547169811320755,0.6071428571428571
18,superglue-cb_64_42,0.2,8,0.7924528301886793,0.7142857142857143
19,superglue-cb_64_42_best,0.2,8,0.7924528301886793,0.7142857142857143
20,superglue-cb_64_87,0.5,8,0.8773584905660378,0.7678571428571429
21,superglue-cb_64_87,0.4,8,0.7924528301886793,0.6428571428571429
22,superglue-cb_64_87,0.3,8,0.7735849056603774,0.6071428571428571
23,superglue-cb_64_87,0.2,8,0.8207547169811321,0.6428571428571429
24,superglue-cb_64_87_best,0.5,8,0.8773584905660378,0.7678571428571429
