,prefix,lr,bsz,dev_performance,test_performance
0,amazon_polarity_128_100,0.0005,8,0.9804684519722286,0.9619975678443421
1,amazon_polarity_128_100,0.0003,8,0.7069125564700787,0.6528333328301932
2,amazon_polarity_128_100,0.0002,8,0.984375,0.9579863875895791
3,amazon_polarity_128_100,0.0001,8,0.6893957777238535,0.42952328867013034
4,amazon_polarity_128_100_best,0.0002,8,0.984375,0.9579863875895791
5,amazon_polarity_128_13,0.0005,8,0.9452991452991453,0.9519767567502672
6,amazon_polarity_128_13,0.0003,8,0.9531135531135531,0.9549898727213623
7,amazon_polarity_128_13,0.0002,8,0.6978864928655724,0.7327872108934084
8,amazon_polarity_128_13,0.0001,8,0.9531221388024171,0.961996199619962
9,amazon_polarity_128_13_best,0.0001,8,0.9531221388024171,0.961996199619962
10,amazon_polarity_128_21,0.0005,8,0.9570148524675245,0.9519982719377897
11,amazon_polarity_128_21,0.0003,8,0.960935115668681,0.9479748198127895
12,amazon_polarity_128_21,0.0002,8,0.9687423687423687,0.9529830268727011
13,amazon_polarity_128_21,0.0001,8,0.9648432135500115,0.9559992959887358
14,amazon_polarity_128_21_best,0.0002,8,0.9687423687423687,0.9529830268727011
15,amazon_polarity_128_42,0.0005,8,0.9452991452991453,0.9349890131432212
16,amazon_polarity_128_42,0.0003,8,0.9804684519722286,0.9519905901556706
17,amazon_polarity_128_42,0.0002,8,0.7837007450649052,0.6897370547137952
18,amazon_polarity_128_42,0.0001,8,0.9843740462674724,0.9569996129965168
19,amazon_polarity_128_42_best,0.0001,8,0.9843740462674724,0.9569996129965168
20,amazon_polarity_128_87,0.0005,8,0.8006321865408401,0.7757982183965568
21,amazon_polarity_128_87,0.0003,8,0.9335684083589015,0.9229937624947621
22,amazon_polarity_128_87,0.0002,8,0.9648432135500115,0.9539909822325175
23,amazon_polarity_128_87,0.0001,8,0.9570253483296962,0.9649996849971649
24,amazon_polarity_128_87_best,0.0002,8,0.9648432135500115,0.9539909822325175
