,prefix,lr,bsz,dev_performance,test_performance
0,dbpedia_14_128_100,0.0005,8,0.8082053981751983,0.8032257355346739
1,dbpedia_14_128_100,0.0003,8,0.8021986333309404,0.7423768824599676
2,dbpedia_14_128_100,0.0002,8,0.320433196813472,0.3010080253844926
3,dbpedia_14_128_100,0.0001,8,0.5373336002216406,0.49863244765270953
4,dbpedia_14_128_100_best,0.0005,8,0.8082053981751983,0.8032257355346739
5,dbpedia_14_128_13,0.0005,8,0.07733524799258491,0.06773955500070976
6,dbpedia_14_128_13,0.0003,8,0.9007876277687894,0.6752199837877113
7,dbpedia_14_128_13,0.0002,8,0.8543404991029202,0.7167500755147719
8,dbpedia_14_128_13,0.0001,8,0.5887613287109428,0.4000667882861636
9,dbpedia_14_128_13_best,0.0003,8,0.9007876277687894,0.6752199837877113
10,dbpedia_14_128_21,0.0005,8,0.9097323737451631,0.7542728545714685
11,dbpedia_14_128_21,0.0003,8,0.8027914563601943,0.7503817713355282
12,dbpedia_14_128_21,0.0002,8,0.6374986802990147,0.5422592926139862
13,dbpedia_14_128_21,0.0001,8,0.5688243869367476,0.47225416044482754
14,dbpedia_14_128_21_best,0.0005,8,0.9097323737451631,0.7542728545714685
15,dbpedia_14_128_42,0.0005,8,0.7548428250414616,0.6597925321758856
16,dbpedia_14_128_42,0.0003,8,0.3840259831135677,0.32660722692358085
17,dbpedia_14_128_42,0.0002,8,0.6728396151218822,0.45852355151918267
18,dbpedia_14_128_42,0.0001,8,0.6489327867563145,0.55683276504839
19,dbpedia_14_128_42_best,0.0005,8,0.7548428250414616,0.6597925321758856
20,dbpedia_14_128_87,0.0005,8,0.8371841175088905,0.6955623793343682
21,dbpedia_14_128_87,0.0003,8,0.8076216002754434,0.7600441771271073
22,dbpedia_14_128_87,0.0002,8,0.43215990916431174,0.3162912210802499
23,dbpedia_14_128_87,0.0001,8,0.40084703394514115,0.38739772462896843
24,dbpedia_14_128_87_best,0.0005,8,0.8371841175088905,0.6955623793343682
