,prefix,lr,bsz,dev_performance,test_performance
0,ethos-race_128_100,0.0005,8,1.0,0.44936708860759494
1,ethos-race_128_100,0.0003,8,1.0,0.44936708860759494
2,ethos-race_128_100,0.0002,8,1.0,0.44936708860759494
3,ethos-race_128_100,0.0001,8,0.49606299212598426,0.674344946731932
4,ethos-race_128_100_best,0.0005,8,1.0,0.44936708860759494
5,ethos-race_128_13,0.0005,8,0.488,0.9194444444444444
6,ethos-race_128_13,0.0003,8,1.0,0.44936708860759494
7,ethos-race_128_13,0.0002,8,1.0,0.44936708860759494
8,ethos-race_128_13,0.0001,8,0.49206349206349204,0.7430872483221477
9,ethos-race_128_13_best,0.0003,8,1.0,0.44936708860759494
10,ethos-race_128_21,0.0005,8,1.0,0.34263448969331317
11,ethos-race_128_21,0.0003,8,1.0,0.44936708860759494
12,ethos-race_128_21,0.0002,8,0.4980392156862745,0.5110528287748219
13,ethos-race_128_21,0.0001,8,1.0,0.29723991507430997
14,ethos-race_128_21_best,0.0005,8,1.0,0.34263448969331317
15,ethos-race_128_42,0.0005,8,0.49206349206349204,0.9065119277885235
16,ethos-race_128_42,0.0003,8,1.0,0.44936708860759494
17,ethos-race_128_42,0.0002,8,1.0,0.44936708860759494
18,ethos-race_128_42,0.0001,8,1.0,0.5110528287748219
19,ethos-race_128_42_best,0.0003,8,1.0,0.44936708860759494
20,ethos-race_128_87,0.0005,8,1.0,0.44936708860759494
21,ethos-race_128_87,0.0003,8,1.0,0.44936708860759494
22,ethos-race_128_87,0.0002,8,1.0,0.44936708860759494
23,ethos-race_128_87,0.0001,8,0.49407114624505927,0.846830985915493
24,ethos-race_128_87_best,0.0005,8,1.0,0.44936708860759494
