,prefix,lr,bsz,dev_performance,test_performance
0,yelp_polarity_128_100,0.0005,8,0.9492179751277943,0.9144736842105262
1,yelp_polarity_128_100,0.0003,8,0.8032343356084364,0.8245865771468679
2,yelp_polarity_128_100,0.0002,8,0.9765610694012086,0.6402912204655308
3,yelp_polarity_128_100,0.0001,8,0.9921870231337362,0.9670931190603512
4,yelp_polarity_128_100_best,0.0001,8,0.9921870231337362,0.9670931190603512
5,yelp_polarity_128_13,0.0005,8,0.8077459500053643,0.7625469189271332
6,yelp_polarity_128_13,0.0003,8,0.7918220176448024,0.7877852313190989
7,yelp_polarity_128_13,0.0002,8,0.9843740462674724,0.9755262327413716
8,yelp_polarity_128_13,0.0001,8,0.9726558327611201,0.9701310158011809
9,yelp_polarity_128_13_best,0.0002,8,0.9843740462674724,0.9755262327413716
10,yelp_polarity_128_21,0.0005,8,0.9765625,0.9559176266313357
11,yelp_polarity_128_21,0.0003,8,0.9804684519722286,0.9705261851576072
12,yelp_polarity_128_21,0.0002,8,0.9687423687423687,0.6426452416645142
13,yelp_polarity_128_21,0.0001,8,0.9804684519722286,0.9651300087110917
14,yelp_polarity_128_21_best,0.0003,8,0.9804684519722286,0.9705261851576072
15,yelp_polarity_128_42,0.0005,8,0.5613934894346089,0.5400430537486173
16,yelp_polarity_128_42,0.0003,8,0.6059150067640061,0.6089150370620784
17,yelp_polarity_128_42,0.0002,8,0.9648303338370655,0.9723660767620521
18,yelp_polarity_128_42,0.0001,8,0.9609160305343512,0.9715775124658301
19,yelp_polarity_128_42_best,0.0002,8,0.9648303338370655,0.9723660767620521
20,yelp_polarity_128_87,0.0005,8,0.9726458152066064,0.9603934689668303
21,yelp_polarity_128_87,0.0003,8,0.9804684519722286,0.957754146274866
22,yelp_polarity_128_87,0.0002,8,0.9687480925349448,0.9557857228192835
23,yelp_polarity_128_87,0.0001,8,0.984375,0.9735493229546113
24,yelp_polarity_128_87_best,0.0001,8,0.984375,0.9735493229546113
