,prefix,lr,bsz,dev_performance,test_performance
0,anli_64_100,0.0005,8,0.4217464565368223,0.3376048371702843
1,anli_64_100,0.0003,8,0.4050521734570815,0.3413031570573768
2,anli_64_100,0.0002,8,0.3215842636895268,0.32020017862155364
3,anli_64_100,0.0001,8,0.2509920634920635,0.23245056156448562
4,anli_64_100_best,0.0005,8,0.4217464565368223,0.3376048371702843
5,anli_64_13,0.0005,8,0.479707542002624,0.3732938895329408
6,anli_64_13,0.0003,8,0.37616279713466416,0.2864202152779307
7,anli_64_13,0.0002,8,0.4558513793831098,0.32586490513958033
8,anli_64_13,0.0001,8,0.29506114800232447,0.26439105923844464
9,anli_64_13_best,0.0005,8,0.479707542002624,0.3732938895329408
10,anli_64_21,0.0005,8,0.45898553264180336,0.32461157049629863
11,anli_64_21,0.0003,8,0.20059956627120806,0.18263797690002356
12,anli_64_21,0.0002,8,0.2842938596336126,0.28598007462840935
13,anli_64_21,0.0001,8,0.21561274192853142,0.2629171025210629
14,anli_64_21_best,0.0005,8,0.45898553264180336,0.32461157049629863
15,anli_64_42,0.0005,8,0.2444590739521615,0.25452391575255007
16,anli_64_42,0.0003,8,0.3974753789632923,0.35087847220072993
17,anli_64_42,0.0002,8,0.4762509466623391,0.22152837605372638
18,anli_64_42,0.0001,8,0.298581024683016,0.27638710854774695
19,anli_64_42_best,0.0002,8,0.4762509466623391,0.22152837605372638
20,anli_64_87,0.0005,8,0.43601438848920865,0.34331289259145
21,anli_64_87,0.0003,8,0.4222976092570951,0.3028737520627975
22,anli_64_87,0.0002,8,0.2614468864468864,0.24854311167399276
23,anli_64_87,0.0001,8,0.18627450980392157,0.172755963678519
24,anli_64_87_best,0.0005,8,0.43601438848920865,0.34331289259145
