,prefix,lr,bsz,dev_performance,test_performance
0,superglue-cb_64_100,0.0005,8,0.5471698113207547,0.5357142857142857
1,superglue-cb_64_100,0.0003,8,0.6320754716981132,0.5357142857142857
2,superglue-cb_64_100,0.0002,8,0.7735849056603774,0.6607142857142857
3,superglue-cb_64_100,0.0001,8,0.5188679245283019,0.5
4,superglue-cb_64_100_best,0.0002,8,0.7735849056603774,0.6607142857142857
5,superglue-cb_64_13,0.0005,8,0.8301886792452831,0.6607142857142857
6,superglue-cb_64_13,0.0003,8,0.9811320754716981,0.8571428571428571
7,superglue-cb_64_13,0.0002,8,0.9433962264150944,0.9285714285714286
8,superglue-cb_64_13,0.0001,8,0.5283018867924528,0.5
9,superglue-cb_64_13_best,0.0003,8,0.9811320754716981,0.8571428571428571
10,superglue-cb_64_21,0.0005,8,0.9056603773584906,0.875
11,superglue-cb_64_21,0.0003,8,0.9433962264150944,0.8928571428571429
12,superglue-cb_64_21,0.0002,8,0.9622641509433962,0.9107142857142857
13,superglue-cb_64_21,0.0001,8,0.8018867924528302,0.7142857142857143
14,superglue-cb_64_21_best,0.0002,8,0.9622641509433962,0.9107142857142857
15,superglue-cb_64_42,0.0005,8,0.8962264150943396,0.6964285714285714
16,superglue-cb_64_42,0.0003,8,0.9433962264150944,0.9285714285714286
17,superglue-cb_64_42,0.0002,8,0.9433962264150944,0.9107142857142857
18,superglue-cb_64_42,0.0001,8,0.5188679245283019,0.5
19,superglue-cb_64_42_best,0.0003,8,0.9433962264150944,0.9285714285714286
20,superglue-cb_64_87,0.0005,8,0.9811320754716981,0.875
21,superglue-cb_64_87,0.0003,8,0.5849056603773585,0.5
22,superglue-cb_64_87,0.0002,8,0.9528301886792453,0.9107142857142857
23,superglue-cb_64_87,0.0001,8,0.8490566037735849,0.6964285714285714
24,superglue-cb_64_87_best,0.0005,8,0.9811320754716981,0.875
