,prefix,lr,bsz,dev_performance,test_performance
0,tab_fact_64_100,0.0005,8,0.5936507936507938,0.5054952681303566
1,tab_fact_64_100,0.0003,8,0.5933528836754642,0.49870607511153875
2,tab_fact_64_100,0.0002,8,0.47396184751272774,0.33230909755978605
3,tab_fact_64_100,0.0001,8,0.5658341042244834,0.49907226664982346
4,tab_fact_64_100_best,0.0005,8,0.5936507936507938,0.5054952681303566
5,tab_fact_64_13,0.0005,8,0.6085148030340103,0.49589083863621763
6,tab_fact_64_13,0.0003,8,0.5546603186229628,0.5002285775471167
7,tab_fact_64_13,0.0002,8,0.5601374570446735,0.31368738619307646
8,tab_fact_64_13,0.0001,8,0.5755342667649226,0.2505665647973818
9,tab_fact_64_13_best,0.0005,8,0.6085148030340103,0.49589083863621763
10,tab_fact_64_21,0.0005,8,0.50778245742538,0.19934800577230144
11,tab_fact_64_21,0.0003,8,0.5620723362658846,0.4981828620953142
12,tab_fact_64_21,0.0002,8,0.5458771715194519,0.4988996373648283
13,tab_fact_64_21,0.0001,8,0.523175572519084,0.49798115065034165
14,tab_fact_64_21_best,0.0003,8,0.5620723362658846,0.4981828620953142
15,tab_fact_64_42,0.0005,8,0.5145583557621727,0.5004056912543803
16,tab_fact_64_42,0.0003,8,0.5053671103477888,0.5021275175701998
17,tab_fact_64_42,0.0002,8,0.5155067155067155,0.2498662926170609
18,tab_fact_64_42,0.0001,8,0.5700763358778627,0.49927714874359475
19,tab_fact_64_42_best,0.0001,8,0.5700763358778627,0.49927714874359475
20,tab_fact_64_87,0.0005,8,0.5620723362658846,0.49628571062079485
21,tab_fact_64_87,0.0003,8,0.5675675675675675,0.4933354859971669
22,tab_fact_64_87,0.0002,8,0.6014943960149439,0.16075485591247066
23,tab_fact_64_87,0.0001,8,0.4998778998778999,0.4972949051950373
24,tab_fact_64_87_best,0.0002,8,0.6014943960149439,0.16075485591247066
