,prefix,lr,bsz,dev_performance,test_performance
0,anli_16_100,0.5,8,0.5009978820462692,0.32393742135306075
1,anli_16_100,0.4,8,0.4349206349206349,0.13813334308821154
2,anli_16_100,0.3,8,0.3605128205128205,0.19194805072476256
3,anli_16_100,0.2,8,0.44477085781433606,0.10874692291242082
4,anli_16_100_best,0.5,8,0.5009978820462692,0.32393742135306075
5,anli_16_13,0.5,8,0.3511111111111111,0.09399623781038074
6,anli_16_13,0.4,8,0.3934218848829855,0.2604991185501032
7,anli_16_13,0.3,8,0.47113997113997114,0.2947621295632772
8,anli_16_13,0.2,8,0.4833081335349317,0.0750691750762831
9,anli_16_13_best,0.2,8,0.4833081335349317,0.0750691750762831
10,anli_16_21,0.5,8,0.33903133903133903,0.2255720521667514
11,anli_16_21,0.4,8,0.38164924506387926,0.12731232369163403
12,anli_16_21,0.3,8,0.36657306741546064,0.14970621494563205
13,anli_16_21,0.2,8,0.3778653407136379,0.15292579966707534
14,anli_16_21_best,0.4,8,0.38164924506387926,0.12731232369163403
15,anli_16_42,0.5,8,0.36737303234190616,0.251541653707008
16,anli_16_42,0.4,8,0.37149014778325123,0.3302981911677564
17,anli_16_42,0.3,8,0.28587720523204396,0.2523417287922689
18,anli_16_42,0.2,8,0.36630036630036633,0.3534487771764961
19,anli_16_42_best,0.4,8,0.37149014778325123,0.3302981911677564
20,anli_16_87,0.5,8,0.3809012106884447,0.19240955684932143
21,anli_16_87,0.4,8,0.3799775533108867,0.13440777337868373
22,anli_16_87,0.3,8,0.4158881600742066,0.12617141100657586
23,anli_16_87,0.2,8,0.3925894195759263,0.13922316223126247
24,anli_16_87_best,0.3,8,0.4158881600742066,0.12617141100657586
