,prefix,lr,bsz,dev_performance,test_performance
0,emo_16_100,0.5,8,0.6471288515406163,0.2798894158551056
1,emo_16_100,0.4,8,0.6824962208721942,0.3782506799219418
2,emo_16_100,0.3,8,0.5364870085965421,0.2745774780954119
3,emo_16_100,0.2,8,0.5856643356643356,0.36979038194702885
4,emo_16_100_best,0.4,8,0.6824962208721942,0.3782506799219418
5,emo_16_13,0.5,8,0.7486764193660744,0.3735151679114044
6,emo_16_13,0.4,8,0.6729792429792429,0.2749624084215707
7,emo_16_13,0.3,8,0.673611111111111,0.3439975115072997
8,emo_16_13,0.2,8,0.6849972943722944,0.3576454904277877
9,emo_16_13_best,0.5,8,0.7486764193660744,0.3735151679114044
10,emo_16_21,0.5,8,0.8583559991394677,0.4124374469082885
11,emo_16_21,0.4,8,0.8088984204793027,0.31188486669285553
12,emo_16_21,0.3,8,0.8054782388663968,0.25696520931808003
13,emo_16_21,0.2,8,0.7961009711009711,0.36389172892901367
14,emo_16_21_best,0.5,8,0.8583559991394677,0.4124374469082885
15,emo_16_42,0.5,8,0.6579196843902726,0.12139426362168686
16,emo_16_42,0.4,8,0.6630909658293025,0.15883099677299264
17,emo_16_42,0.3,8,0.6283229562428673,0.3145734957815004
18,emo_16_42,0.2,8,0.6547619047619048,0.21461194940523567
19,emo_16_42_best,0.4,8,0.6630909658293025,0.15883099677299264
20,emo_16_87,0.5,8,0.717086038961039,0.3005326234283392
21,emo_16_87,0.4,8,0.682852760977761,0.3807936334106027
22,emo_16_87,0.3,8,0.7637164416919701,0.3465515813303618
23,emo_16_87,0.2,8,0.7675530867842819,0.4205328656911712
24,emo_16_87_best,0.2,8,0.7675530867842819,0.4205328656911712
