,prefix,lr,bsz,dev_performance,test_performance
0,superglue-cb_16_100,0.5,8,0.71875,0.6428571428571429
1,superglue-cb_16_100,0.4,8,0.71875,0.5535714285714286
2,superglue-cb_16_100,0.3,8,0.625,0.5892857142857143
3,superglue-cb_16_100,0.2,8,0.625,0.4107142857142857
4,superglue-cb_16_100_best,0.5,8,0.71875,0.6428571428571429
5,superglue-cb_16_13,0.5,8,0.59375,0.5178571428571429
6,superglue-cb_16_13,0.4,8,0.5625,0.5714285714285714
7,superglue-cb_16_13,0.3,8,0.5,0.5
8,superglue-cb_16_13,0.2,8,0.5,0.39285714285714285
9,superglue-cb_16_13_best,0.5,8,0.59375,0.5178571428571429
10,superglue-cb_16_21,0.5,8,0.8125,0.5357142857142857
11,superglue-cb_16_21,0.4,8,0.84375,0.6428571428571429
12,superglue-cb_16_21,0.3,8,0.78125,0.5535714285714286
13,superglue-cb_16_21,0.2,8,0.8125,0.5178571428571429
14,superglue-cb_16_21_best,0.4,8,0.84375,0.6428571428571429
15,superglue-cb_16_42,0.5,8,0.6875,0.6607142857142857
16,superglue-cb_16_42,0.4,8,0.65625,0.6428571428571429
17,superglue-cb_16_42,0.3,8,0.625,0.375
18,superglue-cb_16_42,0.2,8,0.65625,0.6428571428571429
19,superglue-cb_16_42_best,0.5,8,0.6875,0.6607142857142857
20,superglue-cb_16_87,0.5,8,0.71875,0.42857142857142855
21,superglue-cb_16_87,0.4,8,0.6875,0.42857142857142855
22,superglue-cb_16_87,0.3,8,0.625,0.375
23,superglue-cb_16_87,0.2,8,0.625,0.42857142857142855
24,superglue-cb_16_87_best,0.5,8,0.71875,0.42857142857142855
