,prefix,lr,bsz,dev_performance,test_performance
0,tab_fact_16_100,0.5,8,0.5733333333333335,0.11782562195798046
1,tab_fact_16_100,0.4,8,0.5607843137254902,0.48814857141140133
2,tab_fact_16_100,0.3,8,0.6000000000000001,0.18396096154053804
3,tab_fact_16_100,0.2,8,0.5733333333333335,0.1396528377457166
4,tab_fact_16_100_best,0.3,8,0.6000000000000001,0.18396096154053804
5,tab_fact_16_13,0.5,8,0.5134502923976608,0.04877600745737397
6,tab_fact_16_13,0.4,8,0.4909862142099682,0.10987603499230834
7,tab_fact_16_13,0.3,8,0.5933528836754642,0.11000149986046955
8,tab_fact_16_13,0.2,8,0.4817813765182186,0.12366413715620499
9,tab_fact_16_13_best,0.3,8,0.5933528836754642,0.11000149986046955
10,tab_fact_16_21,0.5,8,0.746031746031746,0.07693310449652935
11,tab_fact_16_21,0.4,8,0.7184750733137829,0.026221150555144578
12,tab_fact_16_21,0.3,8,0.6190476190476191,0.09966077181112176
13,tab_fact_16_21,0.2,8,0.625,0.058394905498632486
14,tab_fact_16_21_best,0.5,8,0.746031746031746,0.07693310449652935
15,tab_fact_16_42,0.5,8,0.6235294117647059,0.02630496787119017
16,tab_fact_16_42,0.4,8,0.6235294117647059,0.29580640799926533
17,tab_fact_16_42,0.3,8,0.5333333333333333,0.03558406957259815
18,tab_fact_16_42,0.2,8,0.5625,0.028699505690871416
19,tab_fact_16_42_best,0.5,8,0.6235294117647059,0.02630496787119017
20,tab_fact_16_87,0.5,8,0.6862745098039216,0.16696423547396133
21,tab_fact_16_87,0.4,8,0.6000000000000001,0.13962764796110655
22,tab_fact_16_87,0.3,8,0.5733333333333335,0.33108734648825305
23,tab_fact_16_87,0.2,8,0.6113360323886641,0.3339302786898785
24,tab_fact_16_87_best,0.5,8,0.6862745098039216,0.16696423547396133
