,prefix,lr,bsz,dev_performance,test_performance
0,wiki_qa_16_100,0.5,8,0.4980392156862745,0.4560199853765538
1,wiki_qa_16_100,0.4,8,0.6761133603238867,0.3861094056514773
2,wiki_qa_16_100,0.3,8,0.5,0.3999563727680947
3,wiki_qa_16_100,0.2,8,0.5555555555555556,0.4823785831316608
4,wiki_qa_16_100_best,0.4,8,0.6761133603238867,0.3861094056514773
5,wiki_qa_16_13,0.5,8,0.5307917888563051,0.4141073889817608
6,wiki_qa_16_13,0.4,8,0.5835835835835835,0.42416757667123606
7,wiki_qa_16_13,0.3,8,0.5270935960591133,0.4702056495470177
8,wiki_qa_16_13,0.2,8,0.464039408866995,0.40327176840089807
9,wiki_qa_16_13_best,0.4,8,0.5835835835835835,0.42416757667123606
10,wiki_qa_16_21,0.5,8,0.6559139784946237,0.328979777931437
11,wiki_qa_16_21,0.4,8,0.6190476190476191,0.3673338645075154
12,wiki_qa_16_21,0.3,8,0.6235294117647059,0.3876345506202515
13,wiki_qa_16_21,0.2,8,0.6476476476476476,0.4386638165153911
14,wiki_qa_16_21_best,0.5,8,0.6559139784946237,0.328979777931437
15,wiki_qa_16_42,0.5,8,0.5588547189819725,0.4643293102493026
16,wiki_qa_16_42,0.4,8,0.6190476190476191,0.4606930724392385
17,wiki_qa_16_42,0.3,8,0.6000000000000001,0.39309044120434256
18,wiki_qa_16_42,0.2,8,0.5901477832512315,0.4305579279067028
19,wiki_qa_16_42_best,0.4,8,0.6190476190476191,0.4606930724392385
20,wiki_qa_16_87,0.5,8,0.5607843137254902,0.3101105838776482
21,wiki_qa_16_87,0.4,8,0.5901477832512315,0.33448927373059884
22,wiki_qa_16_87,0.3,8,0.6532019704433498,0.3679113089971669
23,wiki_qa_16_87,0.2,8,0.5625,0.3470966276469505
24,wiki_qa_16_87_best,0.3,8,0.6532019704433498,0.3679113089971669
