,prefix,lr,bsz,dev_performance,test_performance
0,yelp_polarity_16_100,0.5,8,1.0,0.9499866862064943
1,yelp_polarity_16_100,0.4,8,1.0,0.9441845357907657
2,yelp_polarity_16_100,0.3,8,0.9375,0.9316742992627236
3,yelp_polarity_16_100,0.2,8,0.9375,0.9126557909483572
4,yelp_polarity_16_100_best,0.5,8,1.0,0.9499866862064943
5,yelp_polarity_16_13,0.5,8,0.875,0.9268165569434592
6,yelp_polarity_16_13,0.4,8,0.906158357771261,0.2710649108069819
7,yelp_polarity_16_13,0.3,8,0.8435972629521017,0.8866572739387901
8,yelp_polarity_16_13,0.2,8,0.906158357771261,0.9225059516497347
9,yelp_polarity_16_13_best,0.4,8,0.906158357771261,0.2710649108069819
10,yelp_polarity_16_21,0.5,8,0.9687194525904204,0.9183076336096672
11,yelp_polarity_16_21,0.4,8,0.9687194525904204,0.9447558965802765
12,yelp_polarity_16_21,0.3,8,1.0,0.9475397335182184
13,yelp_polarity_16_21,0.2,8,0.9687194525904204,0.9269610632152971
14,yelp_polarity_16_21_best,0.3,8,1.0,0.9475397335182184
15,yelp_polarity_16_42,0.5,8,1.0,0.9238154927023177
16,yelp_polarity_16_42,0.4,8,0.9687194525904204,0.8750848460602236
17,yelp_polarity_16_42,0.3,8,0.8435972629521017,0.7187737201653032
18,yelp_polarity_16_42,0.2,8,0.8423645320197044,0.7169034683278992
19,yelp_polarity_16_42_best,0.5,8,1.0,0.9238154927023177
20,yelp_polarity_16_87,0.5,8,1.0,0.8305322358969085
21,yelp_polarity_16_87,0.4,8,1.0,0.88289266070091
22,yelp_polarity_16_87,0.3,8,1.0,0.9494570197279033
23,yelp_polarity_16_87,0.2,8,1.0,0.956302607628728
24,yelp_polarity_16_87_best,0.5,8,1.0,0.8305322358969085
