,prefix,lr,bsz,dev_performance,test_performance
0,amazon_polarity_16_100,0.5,8,1.0,0.9289555972482801
1,amazon_polarity_16_100,0.4,8,0.9687194525904204,0.9167481631936607
2,amazon_polarity_16_100,0.3,8,0.906158357771261,0.8845417461906306
3,amazon_polarity_16_100,0.2,8,1.0,0.9238244916287126
4,amazon_polarity_16_100_best,0.5,8,1.0,0.9289555972482801
5,amazon_polarity_16_13,0.5,8,0.9375,0.9298642171243527
6,amazon_polarity_16_13,0.4,8,0.906158357771261,0.9136462952252427
7,amazon_polarity_16_13,0.3,8,0.906158357771261,0.9178106357046636
8,amazon_polarity_16_13,0.2,8,0.875,0.9055101646937725
9,amazon_polarity_16_13_best,0.5,8,0.9375,0.9298642171243527
10,amazon_polarity_16_21,0.5,8,0.9372549019607843,0.9369722047422913
11,amazon_polarity_16_21,0.4,8,0.8745098039215686,0.7501249375312344
12,amazon_polarity_16_21,0.3,8,0.873015873015873,0.8667721723402881
13,amazon_polarity_16_21,0.2,8,0.873015873015873,0.874941504897452
14,amazon_polarity_16_21_best,0.5,8,0.9372549019607843,0.9369722047422913
15,amazon_polarity_16_42,0.5,8,0.875,0.8769792094864032
16,amazon_polarity_16_42,0.4,8,0.8398398398398398,0.8946814112690888
17,amazon_polarity_16_42,0.3,8,0.9054187192118226,0.8846251471029374
18,amazon_polarity_16_42,0.2,8,0.873015873015873,0.8331807547553656
19,amazon_polarity_16_42_best,0.3,8,0.9054187192118226,0.8846251471029374
20,amazon_polarity_16_87,0.5,8,0.7702564102564102,0.6759471522978155
21,amazon_polarity_16_87,0.4,8,0.8435972629521017,0.6814884097171314
22,amazon_polarity_16_87,0.3,8,0.8435972629521017,0.7391757955138236
23,amazon_polarity_16_87,0.2,8,0.9687194525904204,0.9359836118046219
24,amazon_polarity_16_87_best,0.2,8,0.9687194525904204,0.9359836118046219
