,prefix,lr,bsz,dev_performance,test_performance
0,anli_16_100,0.5,8,0.37857142857142856,0.016600294952905544
1,anli_16_100,0.4,8,0.38345864661654133,0.03799190473462298
2,anli_16_100,0.3,8,0.39781583131336823,0.013388307329086123
3,anli_16_100,0.2,8,0.39955132083081263,0.006543651582244543
4,anli_16_100_best,0.2,8,0.39955132083081263,0.006543651582244543
5,anli_16_13,0.5,8,0.45861844248941025,0.012538721077682117
6,anli_16_13,0.4,8,0.2711111111111111,0.01904339572391968
7,anli_16_13,0.3,8,0.2905982905982906,0.009555077265198109
8,anli_16_13,0.2,8,0.35271317829457366,0.009138247766706886
9,anli_16_13_best,0.5,8,0.45861844248941025,0.012538721077682117
10,anli_16_21,0.5,8,0.34208998914881267,0.023104225249523658
11,anli_16_21,0.4,8,0.346013324736729,0.0281310012741483
12,anli_16_21,0.3,8,0.3646650501592735,0.010639643717151138
13,anli_16_21,0.2,8,0.2711111111111111,0.010159171698054895
14,anli_16_21_best,0.3,8,0.3646650501592735,0.010639643717151138
15,anli_16_42,0.5,8,0.3100529100529101,0.007878708468754454
16,anli_16_42,0.4,8,0.24296675191815856,0.031225008301694883
17,anli_16_42,0.3,8,0.46064814814814814,0.012170491459513835
18,anli_16_42,0.2,8,0.28869895536562207,0.09203891860411835
19,anli_16_42_best,0.3,8,0.46064814814814814,0.012170491459513835
20,anli_16_87,0.5,8,0.3510638297872341,0.08807742464817367
21,anli_16_87,0.4,8,0.44820512820512826,0.0410123975238549
22,anli_16_87,0.3,8,0.3498019595580571,0.011505017087636923
23,anli_16_87,0.2,8,0.3962962962962963,0.01912928200961172
24,anli_16_87_best,0.4,8,0.44820512820512826,0.0410123975238549
