,prefix,lr,bsz,dev_performance,test_performance
0,superglue-cb_16_100,0.5,8,0.53125,0.2857142857142857
1,superglue-cb_16_100,0.4,8,0.5625,0.5357142857142857
2,superglue-cb_16_100,0.3,8,0.71875,0.48214285714285715
3,superglue-cb_16_100,0.2,8,0.65625,0.48214285714285715
4,superglue-cb_16_100_best,0.3,8,0.71875,0.48214285714285715
5,superglue-cb_16_13,0.5,8,0.625,0.48214285714285715
6,superglue-cb_16_13,0.4,8,0.59375,0.5
7,superglue-cb_16_13,0.3,8,0.65625,0.5
8,superglue-cb_16_13,0.2,8,0.5,0.5357142857142857
9,superglue-cb_16_13_best,0.3,8,0.65625,0.5
10,superglue-cb_16_21,0.5,8,0.875,0.5
11,superglue-cb_16_21,0.4,8,0.71875,0.4642857142857143
12,superglue-cb_16_21,0.3,8,0.75,0.5357142857142857
13,superglue-cb_16_21,0.2,8,0.78125,0.5892857142857143
14,superglue-cb_16_21_best,0.5,8,0.875,0.5
15,superglue-cb_16_42,0.5,8,0.53125,0.3392857142857143
16,superglue-cb_16_42,0.4,8,0.5625,0.5714285714285714
17,superglue-cb_16_42,0.3,8,0.5625,0.5
18,superglue-cb_16_42,0.2,8,0.5,0.39285714285714285
19,superglue-cb_16_42_best,0.4,8,0.5625,0.5714285714285714
20,superglue-cb_16_87,0.5,8,0.625,0.5714285714285714
21,superglue-cb_16_87,0.4,8,0.5,0.42857142857142855
22,superglue-cb_16_87,0.3,8,0.5,0.30357142857142855
23,superglue-cb_16_87,0.2,8,0.625,0.4107142857142857
24,superglue-cb_16_87_best,0.5,8,0.625,0.5714285714285714
