,prefix,lr,bsz,dev_performance,test_performance
0,tab_fact_16_100,0.5,8,0.6113360323886641,0.025629053211094887
1,tab_fact_16_100,0.4,8,0.5625,0.027220241315690598
2,tab_fact_16_100,0.3,8,0.6862745098039216,0.03471502654495612
3,tab_fact_16_100,0.2,8,0.6476476476476476,0.07794652086095498
4,tab_fact_16_100_best,0.3,8,0.6862745098039216,0.03471502654495612
5,tab_fact_16_13,0.5,8,0.4980392156862745,0.014516990079395765
6,tab_fact_16_13,0.4,8,0.5076923076923077,0.005682274748459835
7,tab_fact_16_13,0.3,8,0.46843853820598,0.029102539993138696
8,tab_fact_16_13,0.2,8,0.5835835835835835,0.023939352510973098
9,tab_fact_16_13_best,0.2,8,0.5835835835835835,0.023939352510973098
10,tab_fact_16_21,0.5,8,0.5,0.4994511648153432
11,tab_fact_16_21,0.4,8,0.5195195195195195,0.4982133361473031
12,tab_fact_16_21,0.3,8,0.5607843137254902,0.46147725643979953
13,tab_fact_16_21,0.2,8,0.5270935960591133,0.4907473073795888
14,tab_fact_16_21_best,0.3,8,0.5607843137254902,0.46147725643979953
15,tab_fact_16_42,0.5,8,0.5465587044534412,0.18964876661114988
16,tab_fact_16_42,0.4,8,0.40566959921798634,0.08353070756517511
17,tab_fact_16_42,0.3,8,0.3816425120772947,0.012050844984213426
18,tab_fact_16_42,0.2,8,0.5270935960591133,0.13017520857475864
19,tab_fact_16_42_best,0.5,8,0.5465587044534412,0.18964876661114988
20,tab_fact_16_87,0.5,8,0.4980392156862745,0.004043235255780801
21,tab_fact_16_87,0.4,8,0.5333333333333333,0.011617263136619125
22,tab_fact_16_87,0.3,8,0.5607843137254902,0.02146555084329279
23,tab_fact_16_87,0.2,8,0.6476476476476476,0.0045257309682102675
24,tab_fact_16_87_best,0.2,8,0.6476476476476476,0.0045257309682102675
