,prefix,lr,bsz,dev_performance,test_performance
0,wiki_qa_16_100,0.5,8,0.6389743589743591,0.3899827979384788
1,wiki_qa_16_100,0.4,8,0.75,0.4063920283909873
2,wiki_qa_16_100,0.3,8,0.7046153846153846,0.3950409402785615
3,wiki_qa_16_100,0.2,8,0.6267232237539766,0.36055377608728295
4,wiki_qa_16_100_best,0.4,8,0.75,0.4063920283909873
5,wiki_qa_16_13,0.5,8,0.5555555555555556,0.4373141827561598
6,wiki_qa_16_13,0.4,8,0.539313399778516,0.3904613695993745
7,wiki_qa_16_13,0.3,8,0.3992490613266583,0.48685692827638
8,wiki_qa_16_13,0.2,8,0.4980392156862745,0.4703567893691944
9,wiki_qa_16_13_best,0.5,8,0.5555555555555556,0.4373141827561598
10,wiki_qa_16_21,0.5,8,0.5636363636363637,0.3638285434655597
11,wiki_qa_16_21,0.4,8,0.6190476190476191,0.3342465354733783
12,wiki_qa_16_21,0.3,8,0.716256157635468,0.36420348974514005
13,wiki_qa_16_21,0.2,8,0.6875,0.36869307644957794
14,wiki_qa_16_21_best,0.3,8,0.716256157635468,0.36420348974514005
15,wiki_qa_16_42,0.5,8,0.5901477832512315,0.48574604369299296
16,wiki_qa_16_42,0.4,8,0.6235294117647059,0.4041383947674062
17,wiki_qa_16_42,0.3,8,0.6000000000000001,0.4912800687285223
18,wiki_qa_16_42,0.2,8,0.5,0.5044704249297881
19,wiki_qa_16_42_best,0.4,8,0.6235294117647059,0.4041383947674062
20,wiki_qa_16_87,0.5,8,0.4458874458874459,0.4848535134672012
21,wiki_qa_16_87,0.4,8,0.6190476190476191,0.4286569774705368
22,wiki_qa_16_87,0.3,8,0.6761133603238867,0.3999273843199492
23,wiki_qa_16_87,0.2,8,0.6825396825396826,0.39355337489558795
24,wiki_qa_16_87_best,0.2,8,0.6825396825396826,0.39355337489558795
